STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
01,00000000000S702,1,6,1,04007,0,09,053,00000,'PERDIDO CREEK',,'IRR BIA RTE 4007','11.4KM NW OF ATMORE  AL',99.99,1.5,0,0000000000,0,31061094,087341348,3,3,62,62,09,1999,2,0,50,2023,5,9.7,0,30,0,1,1,0,1,5,0,0,0,A,1,5,5,05,0,00,1,0,9.7,14.7,15,0,0,9.7,9.7,99.99,N,0,N,0,0,7,7,7,6,N,2,44.5,2,32.7,7,7,N,5,7,8,,,0,223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,2,6,0,1,1,0,,Y,8,59,2043,0,Y,62,G,7,145.5
01,00000000000S703,1,6,1,04003,0,09,053,03004,'PERDIDO CREEK',,'IRR BIA RTE 4003','ON LYNN MCGEE ROAD',99.99,1.1,0,0000000000,0,31062020,087340890,3,3,62,62,09,2002,2,0,159,2023,5,6.5,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,01,0,00,1,0,9.7,12.9,13.6,0.3,0.3,9.1,9.8,99.99,N,0,N,0,0,7,6,7,6,N,2,84.8,2,35.1,6,6,N,5,6,8,,,0,223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,2,6,0,8,1,0,,Y,7,200,2043,0,Y,62,F,6,133.28
01,0000000000M0022,1,8,1,00000,0,00,113,19000,'UCHEE CREEK',,'101ST AIRBORNE RD','3.4 KM S OF SUNSHINE RD',99.99,0,0,,,32174330,084583799,18,3,74,74,09,1942,2,0,375,2023,0,10.4,0,0,0,0,0,1,1,5,0,0,0,P,1,5,1,04,0,00,3,0,7.3,18.3,43,0.6,0.6,7.3,9,99.99,N,0,N,0,0,5,5,6,6,N,0,32.7,0,22.5,5,5,N,2,8,6,38,1,52.8,823,24,N  ,Y60,N  ,,1021,,1,1,2,2023,,,               ,0,N,2,,0,0,0,1,1,0,0,35,0,,Y,5,400,2045,,Y,74,F,5,387
01,000000883039900,1,4,1,00088,0,02,059,00000,'LITTLE BEAR CR. DAM SPW',,'CO. RD 88','LITTLE BEAR CR DAM',99.99,0,0,,,34270600,087583100,16,3,67,67,08,1974,2,0,205,2021,5,11.6,0,99,0,1,1,1,1,5,N,0,0,A,1,9,5,05,0,00,5,0,8.6,14,65.5,0,0,8.7,10.5,99.99,N,0,N,0,0,7,7,7,7,N,1,44.2,1,26.6,6,6,N,5,9,6,,,,724,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,0,0,0,5,0,,Y,5,250,2041,,Y,67,G,7,687.75
01,000001014002450,1,3,1,00101,0,02,079,00000,'TENNESSEE RIVER',,'SR 101','ON WHEELER DAM',4.52,39.429,0,,,34485200,087225400,42,3,67,67,06,1937,2,0,5358,2021,4,7.9,0,0,0,1,0,0,0,4,1,17.9,33.5,A,5,5,3,10,3,02,2,143,6,53.3,1981.2,0.9,0.2,6.1,7.8,4.52,N,0,N,0,0,5,6,7,8,N,1,40,1,23.9,5,2,N,5,8,8,31,1,1981.2,823,24,Y24,N  ,N  ,0823,,,50000,2000,60000,,,,               ,0,N,2,,0,0,1962,1,0,0,0,10,0,1,Y,5,8000,2041,,Y,67,F,5,15453.36
01,000001331700710,1,6,2,00000,0,02,033,00000,'TENNESSEE RIVER',,'Res Rd','ON WILSON DAM',99.99,0,0,,,34482400,087374000,6,3,67,67,17,1924,2,2,2841,2021,4,7.9,0,0,0,1,1,1,1,1,1,17.3,33.5,A,5,6,4,03,1,20,8,78,6,46.9,1512.4,1.7,0.5,6.1,8.3,99.99,H,12.19,H,6,0,5,5,5,8,N,1,58.4,1,35,5,2,9,5,9,3,31,1,1512.4,724,24,Y24,N  ,N  ,0724,,,35000,2000,45000,,,,               ,0,N,2,,0,0,1958,1,5,0,0,8,0,1,Y,5,3000,2041,,Y,67,F,5,12552.92
01,000002         ,1,4,1,00000,0,10,127,00000,'BLACKWATER CREEK',,'COUNTRY CLUB ROAD','1 MILE EAST HWY 195',4.57,0.01,0,000CO00000,0,33543030,087171770,2,3,02,02,09,1898,1,0,400,1991,1,5.2,0,0,0,0,0,0,0,2,0,0,0,K,1,5,3,10,3,02,1,4,3.7,30.5,51.8,0,0,3.7,3.7,4.57,N,0,N,0,0,6,4,5,7,N,1,0,1,0,0,0,N,0,7,2,31,1,62.1,1019,24,Y24,N  ,Y03,1019,,0320,511,51,562,2025,,0,               ,0,N,3,,0,0,0,6,6,0,0,1,0,,Y,5,560,2032,0,N,01,P,4,191.66
01,000004         ,1,4,1,00000,0,10,127,00000,'LOST CREEK',,'KINGS MILL ROAD','1 MILE N OAKMAN HWY',4.02,0.01,0,000CO00000,0,33440950,087213460,13,3,02,02,09,1900,1,0,150,1991,2,4.9,0,0,0,0,0,0,0,5,0,0,0,K,1,5,3,10,3,02,1,5,3.7,25.6,48.2,0,0,3.7,3.7,4.02,N,0,N,0,0,4,4,4,6,N,5,0,5,0,0,0,N,0,8,2,31,1,58.3,113,24,Y24,N  ,Y03,0213,,0113,480,48,528,2025,,0,               ,0,N,3,,0,0,0,6,8,0,0,1,0,,Y,U,210,2033,0,N,01,P,4,178.34
01,000004504800350,1,6,8,00000,0,01,095,00000,'LITTLE PAINT ROCK CREEK',,'LOCK ACCESS ROAD','0.3 MI SOUTH US 431',99.99,5.633,0,,,34282000,086223000,199,3,67,67,09,1939,2,0,191,2021,4,6.1,0,0,0,1,0,0,0,5,0,0,0,A,1,5,1,04,0,00,1,0,7.3,18.3,19.2,0.3,0.3,7,8.2,99.99,N,0,N,0,0,7,7,7,6,N,1,47.7,1,28.8,7,4,N,5,6,8,,,,125,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,6,0,0,5,0,,Y,5,375,2041,,Y,67,G,7,157.44
01,000005         ,1,5,0,00000,0,10,075,48808,'Driver Creek',,'RAILROAD STREET','0.5 MI E SR#17',99.99,0.499,0,000MU00040,0,33335721,088042578,158,3,04,04,09,1900,1,0,15,2007,1,3,0,0,0,0,0,0,0,5,0,0,0,P,1,5,4,10,0,00,2,0,4.4,7.9,15.5,0,0,4.4,4.8,30.45,N,0,N,99.9,0,5,4,4,5,N,1,4.5,1,2.7,2,6,N,0,4,5,31,1,22.3,624,24,N  ,N  ,Y12,,,0624,230,23,253,2025,,0,               ,0,N,3,,0,0,0,8,7,0,0,0,0,,Y,4,59,2032,0,N,01,P,4,74.4
01,000007         ,1,4,1,00010,0,01,049,00000,'COAL   CREEK',,'CO  RT  10','1.25  MI N ARONEY  T9SR5E',99.99,0.01,0,000CO00100,0,34140315,086041392,5,3,02,02,08,1993,1,0,180,2023,5,5.8,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,22,0,00,3,0,7.5,7.3,21.9,0,0,7.5,7.5,99.99,N,0,N,0,0,7,6,7,5,N,1,55.7,1,33.4,6,5,N,5,7,6,,,30,323,24,N  ,N  ,N  ,,,,493,49,542,2025,,0,               ,0,N,3,,0,0,0,2,0,0,0,5,0,,Y,5,268,2043,0,N,01,F,6,164.25
01,000008         ,1,4,1,00027,0,05,007,00000,'VIADUCT OVER SO.RR',,'COUNTY 27','OLD AL 5 AT WOODSTK',99.99,0.01,0,000CO00270,0,33122146,087091361,10,3,02,02,09,1927,2,0,513,1989,2,8.5,0,0,0,0,0,0,0,2,N,0,0,P,1,2,3,03,1,04,1,3,6.1,33.2,65.2,0,0,6.1,7,99.99,R,9.14,R,18.3,6.1,7,6,7,N,N,2,13.6,2,9.5,2,3,9,0,N,7,31,1,75.6,1124,24,Y12,N  ,Y12,1124,,1124,1192,119,1311,2025,,0,               ,0,N,2,,0,0,0,1,0,0,0,20,0,,Y,N,765,2030,0,N,01,F,6,456.4
01,00000B253040000,1,4,1,00037,0,02,059,00000,'BEAR CREEK DAM SPILLWAY',,'CO. RD 37','BEAR CREEK DAM',99.99,0,0,,,34234900,087591600,21,3,67,67,08,1969,2,0,99,2021,5,11.6,0,0,0,1,0,1,1,5,N,0,0,A,1,9,5,05,0,00,8,0,8.5,14.3,117,0,0,8.5,9.6,99.99,N,0,N,0,0,7,6,7,7,N,1,48.9,1,29.2,6,7,N,5,9,6,,,,724,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,2,6,0,0,5,0,,Y,5,200,2041,,Y,67,F,6,1123.2
01,00000BLN0BR0010,1,8,8,00000,0,01,071,00000,'TOWN CREEK',,'BELLEFONTE ROAD','Bellefonte',99.99,0,0,,,34434600,085545700,11,3,67,67,09,1974,2,0,250,2021,4,12.8,0,0,0,0,N,0,N,5,0,0,0,A,1,5,1,19,0,00,2,0,6.4,3,6.4,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,6,3,37.3,3,28.8,6,N,N,5,7,7,,,,323,24,N  ,Y60,N  ,,0521,,0,0,0,,,,               ,0,N,2,,0,0,0,N,6,N,N,1,0,,Y,5,500,2041,,Y,67,F,6,81.92
