STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
05,000000000000263,1,2,1,00071,0,03,091,00000,'KELLEY BAYOU',,'US 71 SEC.01- 5.03','5 MILES N. LOUISIANA SL.',99.99,8.095,0,0000000000,0,33052595,093540844,92,3,01,01,06,1942,2,0,625,2018,2,10.4,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,04,0,00,4,0,8.5,7.6,30.5,0.5,0.5,8.6,9.8,99.99,N,0,N,99.9,0,6,6,6,6,N,1,38.1,1,22.7,6,5,N,5,6,7,,,0,823,24,N00,N00,N00,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,6,0,0,1,1,1,Y,7,875,2033,0,N,05,F,6,298.9
05,000000000000264,1,2,1,00071,0,03,091,00000,'WESTFORK KELLY BAYOU',,'US 71 SEC.01- 0.45','.5MI. N. LOUISIANA S.L.',99.99,0.724,0,0000000000,0,33013288,093533221,64,3,01,01,06,1927,2,0,330,2018,2,11,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,04,0,00,6,0,8.5,7.6,46.3,0.5,0.5,8.5,9.8,99.99,N,0,N,99.9,0,6,6,6,7,N,1,54.4,1,32.7,6,6,N,5,7,7,,,0,723,24,N00,N00,N00,,,,0,0,0,,,,               ,0,N,2,,0,0,1942,1,6,0,0,18,1,1,Y,5,400,2038,0,N,05,F,6,453.74
05,000000000000279,1,5,1,42527,0,03,109,27310,'CANEY CREEK (city)',,'OLD HWY 70','.22 M E OF US 70',99.99,0.354,0,0000000000,0,34201777,093300437,5,3,04,04,09,1928,2,0,275,2018,0,6.1,0,0,0,0,0,0,0,2,0,0,0,A,1,5,1,11,1,04,1,2,6.1,30.5,47.5,0.5,0.5,5.5,6.4,99.99,N,0,N,99.9,0,6,6,6,7,N,0,28.1,0,17.2,5,3,N,5,7,6,,,0,324,24,N00,N00,N00,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,6,0,0,1,0,1,Y,5,58,2007,0,N,05,F,6,304
05,000000000000284,1,2,1,00070,0,03,109,00000,'BEAR CREEK',,'US 70 SEC.04-15.20','2 MI WEST OF KIRBY',99.99,24.462,0,0000000000,0,34145729,093403608,39,3,01,01,06,1929,2,0,2500,2018,4,11.6,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,02,1,04,1,2,9.5,18.9,37.2,0.5,0.5,8.5,9.7,99.99,N,0,N,99.9,0,7,6,6,7,N,1,41.7,1,24.5,6,4,N,5,7,8,31,1,45.7,1124,24,N00,N00,N00,,,,0,156,501,,,,               ,0,N,2,,0,0,1955,1,6,0,0,1,1,1,Y,8,3009,2028,0,N,05,F,6,360.84
05,000000000000286,1,2,1,00070,0,03,109,00000,'FALLEN CREEK',,'US 70 - 04 - 1.89','1 MI WEST NEWHOPE',99.99,3.042,0,0000000000,0,34132986,093534237,48,3,01,01,06,1955,2,0,1500,2018,5,11.3,0,0,0,1,0,1,1,5,0,0,0,A,1,5,1,01,0,00,3,0,9.3,7.6,22.9,0.5,0.5,8.5,9.1,99.99,N,0,N,99.9,0,7,7,6,7,N,1,40.8,1,24.5,6,5,N,5,7,8,,,0,724,24,N00,N00,N00,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,6,0,0,1,1,1,Y,8,1881,2027,0,N,05,F,6,208.39
05,000000000000305,1,2,6,00167,0,07,013,69050,'TURNERS CREEK',,'US 167B SEC4BLM0.8','0.50 MI SO OF THORNTON',99.99,1.336,0,0000000000,0,33460570,092290661,5,3,01,01,07,1927,2,0,210,2018,2,8.5,0,0,0,0,0,0,0,2,0,0,0,A,1,5,1,04,0,00,1,0,6,7.3,7.9,0.2,0.2,6.1,6.9,99.99,N,0,N,0,0,5,7,6,5,N,1,54.4,1,32.7,6,4,N,5,7,7,,,0,524,24,N00,N00,N00,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,6,0,0,10,1,1,Y,5,263,2028,0,N,05,F,5,54.51
05,000000000000315,1,2,1,00071,0,04,127,00000,'Carnes Creek-Scott Co.',,'US Highway 71','0.9 MI NO OF NO BOOTHE',99.99,55.506,0,0000000000,0,35031530,094073777,24,3,01,01,02,1928,2,0,4700,2018,5,13.4,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,01,0,00,1,0,13.4,10.1,10.7,0,0,13.4,14.3,99.99,N,0,N,0,0,6,6,6,7,N,1,43.5,1,26.3,6,7,N,5,8,8,,,0,623,24,N00,N00,N00,,,,0,0,0,,,,               ,2,N,2,,1,0,1981,1,2,0,0,1,1,1,Y,8,6222,2028,0,N,05,F,6,153.01
05,000000000000316,1,2,1,00071,0,04,127,00000,'Kings Relief - Scott Co.',,'US Highway 71','0.40 MI N OF JCT SH 23&71',99.99,53.189,0,0000000000,0,35020496,094072063,24,3,01,01,02,1928,2,0,4700,2018,5,9.8,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,01,0,00,1,0,13.4,10.7,10.7,0,0,13.4,14.3,99.99,N,0,N,0,0,6,6,6,8,N,1,43.5,1,26.3,6,7,N,5,8,8,,,0,623,24,N00,N00,N00,,,,0,0,0,,,,               ,2,N,2,,1,0,1981,1,2,0,0,1,1,1,Y,8,6222,2028,0,N,05,F,6,153.01
05,000000000000317,1,2,1,00071,0,04,127,00000,'Kings Creek - Scott Co.',,'US Highway 71','0.3 MI N SH 23&71',99.99,53.028,0,0000000000,0,35015987,094072072,24,3,01,01,02,1928,2,0,4700,2018,5,10.1,0,30,0,1,1,1,1,5,0,0,0,A,1,5,1,01,0,00,3,0,13.4,10.7,31.7,0,0,13.4,14.3,99.99,N,0,N,0,0,6,6,6,6,N,1,43.5,1,26.3,6,7,N,5,8,8,,,0,623,24,N00,N00,N00,,,,0,0,0,,,,               ,2,N,2,,1,0,1981,1,2,0,0,1,1,1,Y,8,6222,2028,0,N,05,F,6,453.31
05,000000000000319,1,2,1,00071,0,04,127,00000,'Brushy Creek - Scott Co.',,'US Highway 71','6.48 MI NO OF JCT SH 28',99.99,50.92,0,0000000000,0,35005407,094071594,24,3,01,01,02,1928,2,0,5500,2018,5,10.1,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,01,0,00,2,0,13.4,10.7,21.3,0,0,13.4,14.3,99.99,N,0,N,0,0,5,5,5,7,N,1,43.5,1,26.3,5,6,N,5,8,8,,,0,623,24,N00,N00,N00,,,,0,0,0,,,,               ,2,N,2,,1,0,1981,1,2,0,0,16,1,1,Y,8,6700,2038,0,N,05,F,5,304.59
