STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
13,        1GA4976,1,8,0,00000,0,00,039,00000,'NORTH RIVER',,'USS HENRY L. STIMS','90M E. OF USS WOODROW WIL',99.99,0,0,,,30475430,081320060,199,3,73,73,09,1980,2,0,1000,2013,0,7.3,0,0,0,1,0,0,0,5,N,0,0,A,1,5,5,01,0,00,2,0,12.5,9.6,19.8,0,0,12.5,13.4,9,N,0,N,0,0,7,7,5,6,N,1,94.1,1,56.3,5,9,N,5,7,8,38,1,19.8,323,24,N  ,N  ,N  ,,,,31,21,52,2023,,,               ,1,N,2,,0,0,1987,2,6,0,0,40,0,1,Y,5,1200,2032,,Y,73,F,5,265.32
13,        2GA1475,1,8,8,00000,0,00,095,01052,'DRAINAGE DITCH',,'DIRT ACCESS ROAD','0.1 KM E OF WEST SHAW RD',99.99,0,0,,,31330400,084053450,199,3,73,73,09,1957,2,0,10,2013,0,3.7,0,0,0,0,0,0,0,4,0,0,0,P,1,5,1,22,0,00,4,0,3.7,6.2,24.7,0.2,0.2,7.3,7.7,99.99,N,0,N,0,0,6,6,6,8,N,1,41.4,1,24.8,6,6,N,5,8,8,38,1,24.7,623,24,N  ,N  ,N  ,,,,6,32,38,2023,,,               ,0,N,2,,0,0,,2,0,0,0,5,0,1,Y,5,12,2043,,Y,73,F,6,190.19
13,        2GA1802,1,8,8,00000,0,00,095,01052,'DRAINAGE DITCH',,'WEST SHAW ROAD','1.0 KM S OF WILKINSON WAY',99.99,0,0,,,31325150,084054240,1,3,73,73,09,1957,1,0,50,2013,0,3.7,0,0,0,0,0,0,0,4,0,0,0,P,1,5,1,22,0,00,5,0,3.4,6.2,30.9,0.2,0.2,3.4,3.8,99.99,N,0,N,0,0,6,6,6,6,N,1,43.7,1,26.3,6,3,N,5,8,6,38,1,30.9,623,24,N  ,N  ,N  ,,,,2,21,23,2023,,,               ,0,N,3,,0,0,,2,0,0,0,5,0,,Y,5,60,2032,,Y,73,F,6,117.42
13,000000000000036,1,8,1,00000,0,00,053,19000,'OSWICHEE CREEK',,'SUNSHINE ROAD','3.7 KM E/O SIGHTSEEING RD',99.99,0,0,,,32182200,084561892,16,3,74,74,09,2005,2,0,75,2023,0,7.3,0,0,0,1,1,0,0,5,0,0,0,A,1,5,1,22,0,00,3,0,10.7,10.4,31.1,0,0,10.7,11.4,99.99,N,0,N,0,0,6,6,7,6,N,0,47.3,0,32.7,6,9,N,5,7,3,38,1,39.6,823,24,N  ,N  ,N  ,,,,1,1,2,2023,,,               ,0,N,2,,0,0,0,1,0,N,N,40,0,,Y,5,100,2045,,Y,74,F,6,354.54
13,0000000000M9352,1,8,1,00000,0,00,053,19000,'PINE KNOT CREEK',,'BUENA VISTA ROAD','1.5 KM E/O SHAMANSKI RD',99.99,0,0,,,32262087,084435869,10,3,74,74,07,1977,2,0,100,2021,5,5.9,0,0,0,0,0,0,0,5,0,0,0,K,1,5,3,02,0,00,4,0,8.6,18.3,55.8,0.3,0.3,8.6,9.2,99.99,N,0,N,0,0,4,4,7,7,N,8,39.5,8,30.5,4,7,N,5,8,8,38,1,66.3,823,24,N  ,N  ,N  ,,,,1,1,2,2023,,,               ,0,N,2,,0,0,0,1,1,0,0,40,0,,Y,5,150,2045,,Y,74,P,4,513.36
13,0000000000M9354,1,8,1,00000,0,00,215,19000,'RANDALL CREEK',,'BUENA VISTA ROAD','1.5 KM W 2ND ARMORED DIV',99.99,0,0,,,32271487,084472825,6,3,74,74,09,1914,2,0,100,2023,0,6.1,0,0,0,1,0,1,1,4,0,0,0,P,1,5,1,04,0,00,5,0,6.1,15.9,62.1,0.2,0.2,6.1,7.1,99.99,N,0,N,0,0,5,6,5,6,N,0,24.9,0,17,5,5,N,2,8,8,38,1,72.6,823,24,N  ,N  ,N  ,,,,1,1,2,2023,,,               ,0,N,2,,0,0,0,1,6,0,0,20,0,,Y,4,150,2045,,Y,74,F,5,440.91
13,0000000000M9355,1,8,1,00000,0,00,215,19000,'UPATOI CREEK',,'BUENA VISTA ROAD','.1 KM W/O HOURGLASS RD',99.99,0,0,,,32264265,084452362,10,3,74,74,07,1990,2,0,100,2023,5,7.3,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,02,0,00,5,0,13.4,17.8,85.6,0,0,13.4,14.4,99.99,N,0,N,0,0,8,8,7,6,N,1,61,1,36.6,7,9,N,5,8,8,38,1,95.5,823,24,N  ,N  ,N  ,,,,1,1,2,2023,,,               ,0,N,2,,0,0,0,1,1,0,0,40,0,,Y,5,150,2045,,Y,74,G,7,1232.64
13,0000000000M9356,1,8,1,00000,0,00,053,19000,'N.F. PINE KNOT CREEK',,'CACTUS ROAD','6.5 KM N/O ST RTE 103',99.99,0,0,,,32261759,084400293,14,3,74,74,09,2008,2,0,25,2023,0,10.4,0,0,0,1,1,1,0,4,0,0,0,A,1,5,1,22,0,00,2,0,9.8,9.9,19.8,0,0,9.8,10.4,99.99,N,0,N,0,0,7,6,7,7,N,0,47.3,0,32.7,6,8,N,5,7,6,38,1,27.3,823,24,N  ,N  ,N  ,,,,1,1,2,2023,,,               ,0,N,2,,0,0,0,9,0,0,0,15,0,,Y,8,28,2045,,Y,74,F,6,205.92
13,0000000000M9357,1,8,1,00000,0,00,215,19000,'N.F. RANDALL CREEK',,'MIDWEST ROAD','2 KM NE AUDERNARDE TRL',99.99,0,0,,,32284418,084480360,8,3,74,74,09,2008,2,0,10,2023,0,8.5,0,0,0,1,1,1,0,5,0,0,0,A,1,5,1,19,0,00,1,0,8.5,13.4,13.4,0,0,0,0,99.99,N,0,N,0,0,N,N,N,8,7,0,54.5,0,32.7,7,N,N,5,8,8,38,1,20.1,823,24,N  ,N  ,N  ,,,,1,1,2,2023,,,               ,0,N,2,,0,0,0,N,N,N,N,25,0,,Y,8,11,2045,,Y,74,G,7,113.9
13,0000000000M9364,1,8,1,00000,0,00,215,19000,'WOLF CREEK',,'STEAM MILL ROAD','.5 KM E/O MASSEY RD',99.99,0,0,,,32260128,084504668,3,3,74,74,09,1914,2,0,2,2023,0,6.7,0,0,0,0,0,0,0,4,0,0,0,P,1,5,1,04,0,00,3,0,6.7,12.6,34.2,0,0,6.7,7.6,99.99,N,0,N,0,0,6,5,6,6,N,0,24.9,0,17,5,5,N,1,8,6,38,1,43,823,24,N  ,N  ,N  ,,,,1,1,2,2023,,,               ,0,N,2,,0,0,0,1,1,0,0,1,0,,Y,4,5,2045,,Y,74,F,5,259.92
