STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
19,000000000000060,1,5,1,00000,1,04,001,00022,'IAIS RR',,'5TH STREET','A72000525',99.99,0.819,0,,,41294873,094383629,5,3,04,04,07,1923,2,0,3562,2023,2,7.3,0,19,0,0,N,N,N,1,N,0,0,A,1,2,2,11,0,00,3,0,7.3,24.4,62.5,1.5,0.3,7.3,10,99.99,R,7.62,R,4.4,4.4,8,6,6,N,N,8,58.3,8,45.7,6,2,6,5,N,7,34,1,226,323,24,N  ,N  ,N  ,,,,1000,250,0,,,0,               ,0,N,2,,0,0,0,1,4,0,0,0,0,,Y,N,3562,2043,,N,19,F,6,625
19,000000000000071,1,5,1,00000,1,07,001,00022,'IAIS RR',,'E 2ND ST','000000000',99.99,0.187,0,,,41295433,094382265,0,3,04,04,09,2003,2,0,120,2022,5,16.8,0,15,0,1,0,0,0,3,N,0,0,A,1,2,5,02,0,00,3,0,9.1,24.8,59.8,0,2.1,9.1,11.9,99.99,R,7.16,R,9,0,7,8,7,N,N,6,70.3,6,42.1,7,6,9,5,N,8,38,1,196,323,24,N  ,N  ,N  ,,,,15,2,0,,,0,               ,0,N,2,,0,0,0,1,1,0,0,0,0,5,Y,N,120,2043,,N,19,G,7,711.62
19,000000000000080,1,5,1,00000,1,07,049,00035,'BUTLER CREEK',,'15TH ST','079273000',99.99,0.908,0,,,41373069,094013913,2,3,04,04,07,1907,2,0,1027,2022,0,11.6,0,0,0,1,0,1,0,5,0,0,0,P,1,5,1,07,0,00,3,0,7.6,5.8,23.5,0,0,7.6,8.5,99.99,N,0,N,0,0,5,4,4,5,N,1,21,1,16.1,4,4,N,1,5,3,31,1,0,922,24,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,N,2,,0,0,1938,1,6,0,0,0,0,,Y,U,1027,2043,,N,19,P,4,199.75
19,000000000000091,1,5,1,00000,1,07,183,00052,'LONG CREEK',,'1ST ST','075062100',99.99,0.167,0,,,41172222,091325699,3,3,04,04,09,2013,2,0,58,2022,A,8.5,0,15,0,1,N,N,N,5,0,0,0,A,1,5,2,01,0,00,3,0,7.5,16.8,43,0,0,7.5,8.3,99.99,N,0,N,0,0,8,8,8,8,N,8,54.1,8,41.8,8,6,N,5,8,8,38,2,0,322,48,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,1,0,0,,Y,5,58,2043,,N,19,G,8,356.9
19,000000000000111,1,5,1,00000,1,07,083,00077,'IOWA RIVER',,'MAIN ST','089211800',99.99,0.853,0,,,42311434,093223338,5,3,04,04,07,2023,2,0,1858,2022,A,10.4,0,0,0,1,N,N,N,5,0,0,0,A,1,5,2,01,0,00,4,0,8.5,14.3,51.2,1.5,0,8.5,11.2,99.99,N,0,N,0,0,9,9,9,8,N,F,42.1,F,32.4,8,5,N,5,8,8,38,1,168,124,24,N  ,N  ,N  ,,,,20,2,30,2024,,,               ,0,N,2,,0,0,0,1,1,0,1,0,0,1,Y,5,1858,2044,,N,19,G,9,573.44
19,000000000000136,1,5,1,00000,2,07,037,00127,'ELK CREEK',,'WEBER ST','097133018',99.99,0.544,0,,,43115471,092251236,3,3,02,02,07,2020,2,0,669,2022,A,10.4,0,30,0,1,1,1,1,5,0,0,0,A,1,5,2,01,0,00,3,0,9.3,15.5,39.9,0,0,9.3,10.1,99.99,N,0,N,0,0,8,8,8,8,N,F,42.1,F,32.4,8,6,N,5,9,7,38,1,,324,48,N  ,N  ,N  ,,,,,,0,,,,               ,0,N,2,,0,0,0,1,1,0,1,0,0,1,Y,8,669,2044,,N,19,G,8,402.99
19,000000000000150,1,5,1,00000,2,07,167,00130,'FLOYD RIVER',,'FM','094440104',99.99,1.024,0,,,42585824,096000214,5,3,04,04,17,1954,2,0,813,2022,2,10.1,0,31,0,1,1,1,1,5,0,0,0,R,1,5,3,02,0,00,4,0,7.3,27.7,84.1,0,0,7.3,7.9,99.99,N,0,N,0,0,5,4,4,6,N,6,27.9,6,16.5,4,N,N,2,8,7,,,0,1224,12,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,N,3,,0,0,0,1,1,0,0,0,0,1,Y,8,813,2043,,N,19,P,4,664.39
19,000000000000160,1,5,1,00000,2,07,167,00130,'DRAINAGE',,'GARFIELD ST','000000000',99.99,0.443,0,,,42593237,096003064,2,3,04,04,19,1900,2,0,232,2022,0,7.6,0,0,0,1,0,0,0,3,0,0,0,A,1,5,3,02,0,00,1,0,6,10.1,11,0,0,6,6.7,99.99,N,0,N,0,0,5,5,3,5,N,6,41.8,6,24.9,3,3,N,5,7,8,35,1,36,1123,24,N  ,N  ,N  ,,,,50,8,0,,,0,               ,0,N,2,,0,0,0,1,1,0,0,0,0,1,Y,8,232,2043,,N,19,P,3,73.7
19,000000000000162,1,5,1,00000,2,07,153,00132,'LITTLE FOUR MILE CREEK',,'4TH ST SW','000000000',99.99,1.503,0,,,41385475,093283392,3,3,04,04,19,2001,2,0,1396,2022,5,9.5,0,0,0,1,1,1,1,5,0,0,0,A,1,5,2,19,0,00,1,0,10.7,7.6,17.7,3,3,10.7,17.7,99.99,N,0,N,0,0,N,N,N,7,8,0,44.1,0,32.7,8,6,N,5,7,8,,,0,624,24,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,N,2,,0,0,0,N,N,N,N,0,0,,Y,8,1396,2044,,N,19,G,8,313.29
19,000000000000166,1,5,1,00000,2,07,169,00155,'IOWAY CREEK',,'S 4TH ST','A14000675',99.99,0.327,0,,,42010371,093374533,3,3,04,04,16,1970,4,0,11666,2022,3,13.7,0,0,0,1,0,0,0,5,0,0,0,A,5,5,5,02,0,00,3,0,15.2,24.4,70.1,0,1.5,15.5,17.9,99.99,N,0,N,0,0,6,7,6,7,N,1,52.2,2,24.2,5,4,N,5,8,8,,,264,424,24,N  ,N  ,N  ,,,,1007,201,0,,,0,               ,0,N,2,,0,0,0,1,1,0,0,0,0,,Y,8,11666,2043,,N,19,F,6,1254.79
