STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
17,        1IL00S1,1,8,1,00000,0,00,097,17097,'PETTIBONE CK/ CRUSLEY DR',,'FARRAGUT AVENUE','0.5 KM E OF SHERIDAN RD',99.99,0,0,,,42184349,087503280,4,3,73,73,19,2005,3,1,12075,2008,0,11.6,0,0,1,1,0,0,0,5,N,0,0,A,5,6,4,02,0,00,3,0,11.6,24.4,55.1,2.1,2.1,11.6,16.5,99.99,N,0,N,0,0,7,7,7,7,N,1,54.7,1,32.7,7,2,N,5,8,8,38,2,55.1,424,24,N  ,N  ,N  ,,,,39,57,96,2024,,,               ,0,N,2,,0,0,0,1,1,N,1,2,0,,Y,5,13325,2040,,Y,73,G,7,909.15
17,        1IL00S9,1,8,1,00000,0,00,097,17097,'PETTIBONE CREEK',,'SAMPSON STREET','0.5 KM S OF DECATUR AVE',99.99,0,0,,,42183278,087501963,4,3,73,73,19,1926,1,0,1260,2008,0,8.6,0,0,0,1,0,0,0,3,0,0,0,P,5,5,1,11,0,00,3,0,8.3,36.6,105.2,1.5,1.3,8.3,12.2,99.99,N,9.1,N,3,0,5,4,5,6,N,0,10.9,0,10.9,2,4,N,1,8,8,31,1,105.2,424,24,N  ,N  ,N  ,,,,3,38,42,2024,,,               ,0,N,3,,0,0,1985,9,6,0,0,5,0,1,Y,5,1260,2040,,Y,73,P,4,1283.44
17,        1IL0S12,1,8,1,00000,0,00,097,17097,'PETTIBONE CREEK',,'10TH  STREET','0.01KM S OF CROSLEY DR',99.99,0,0,,,42183355,087501036,3,3,73,73,19,1938,2,0,210,2008,0,6.1,0,16,0,1,0,0,0,5,0,0,0,P,1,5,5,01,0,00,1,0,5.3,8.4,9,0,0,5.3,6.4,99.99,N,0,N,0,0,6,5,6,7,N,1,54.1,1,32.4,5,2,N,5,8,6,38,1,9,424,24,N  ,Y60,N  ,,0422,,5,40,45,2024,,,               ,0,N,2,,0,0,1995,2,6,0,0,5,0,,Y,5,308,2035,,Y,73,F,5,57.6
17,        1IL114H,1,8,1,00000,0,00,097,17097,'PETTIBONE CR  ACCESS RD',,'"D" STREET','0.6 KM E OF SHERIDAN RD',99.99,0,0,,,42182323,087502790,5,3,73,73,19,2009,2,0,4725,2008,5,7.3,0,0,0,1,0,0,0,5,N,0,0,P,5,5,5,02,0,00,3,0,7.9,27.4,83.5,1.8,1.8,7.9,12.2,99.99,N,8.41,N,1,0,7,7,8,8,N,1,71.2,1,42.6,7,3,N,5,N,8,38,1,82.2,424,24,N  ,N  ,N  ,,,,4,45,48,2024,,,               ,0,N,2,,0,0,0,1,1,0,1,5,0,,Y,5,5000,2039,,Y,73,G,7,1018.7
17,        1IL1861,1,8,1,00000,0,00,097,17097,'PAVED ROAD',,'PATTEN ROAD','0.5 KM N OF FINLEY ROAD',99.99,0,0,,,42125442,087483036,5,3,73,73,19,2005,2,2,1050,2008,5,9.4,0,0,1,1,0,0,0,5,N,0,0,P,5,1,5,05,0,00,3,0,9.4,18.5,55.2,1.8,1.8,9.4,13.7,99.99,H,10.55,H,0,0,6,5,7,N,N,2,74,2,32.6,5,5,3,5,N,8,38,1,55.2,424,24,N  ,N  ,N  ,,,,2,106,108,2024,,,               ,0,N,2,,0,0,,1,6,1,8,5,0,,Y,N,1230,2039,,Y,73,F,5,756.24
17,        1IL2212,1,8,1,00000,0,00,097,17097,'CREEK',,'CONNECICUT AVE','50M E. OF MISSISSIPPI ST.',99.99,0,0,,,42182620,087522110,1,3,73,73,19,1957,2,0,210,2008,0,7.2,0,0,0,N,N,N,N,5,0,0,0,A,5,5,1,19,0,00,2,0,7.2,3,6.3,1.5,0.3,0,0,99.99,N,0,N,0,0,N,N,N,5,6,0,36.2,0,32.6,6,N,N,5,6,8,38,1,6.3,424,24,N  ,N  ,N  ,,,,0,1,1,2024,,,               ,0,N,2,,0,0,,N,N,N,N,5,0,,Y,5,315,2041,,Y,73,F,6,45.36
17,000000000819903,1,8,1,00000,0,02,161,65104,'US67 MISSRVR L&D15 CPRR',,'FT ARMSTRNG AV','ROCK ISLAND ARSENAL',3.75,0,0,,,41310998,090340199,3,3,74,74,16,1896,2,2,18000,2020,5,7.9,0,0,0,1,0,0,0,3,1,7.3,33.5,P,4,8,3,17,3,10,1,7,7.1,78.6,466.6,2,2,7.1,7.7,3.35,H,4.27,H,0.6,0,5,5,5,7,N,8,17.8,8,13.6,3,2,3,0,8,3,35,1,564.3,824,24,Y24,Y60,N  ,0824,0820,,1132,3,1135,2024,197,0,000000000047030,0,N,2,,0,0,0,3,0,0,2,2,0,2,Y,5,25000,2046,,Y,74,F,5,3592.82
17,000000000819904,1,8,1,00000,0,02,161,65104,'SYLVAN SLOUGH',,'ARSENAL RD','VIADUCT RI ARSENAL',99.99,0,0,,,41304338,090335591,3,3,74,74,16,1906,2,0,8900,2022,4,10,0,0,0,1,1,1,1,3,0,0,0,P,1,5,3,03,0,00,8,0,7.3,25.5,183.9,0.3,1.2,7.3,10,99.99,N,0,N,0,0,5,5,5,7,N,8,39.2,8,30.1,5,2,N,5,8,8,35,1,190.5,824,24,Y24,Y60,N  ,0824,0820,,247,10,257,2024,,,               ,0,N,2,,0,0,1967,1,4,0,0,5,0,,Y,5,9600,2046,,Y,74,F,5,1839
17,000000000819909,1,8,1,00000,0,02,161,65104,'MOLINE POOL',,'RODMAN AVENUE','SE ARSENAL ISLAND',99.99,0,0,,,41303863,090310642,3,3,74,74,16,1981,2,1,9550,2022,5,12.8,0,0,0,1,1,1,1,5,0,0,0,A,1,6,4,03,4,02,4,8,12.8,70.1,409.9,0,0,10.9,13.8,99.99,N,0,N,0,0,6,6,6,7,N,8,34.3,8,26.6,6,4,N,5,8,8,37,1,411.1,824,24,Y24,Y60,N  ,0824,0820,,150,7,157,2024,,,               ,0,N,2,,0,0,2010,1,4,0,1,5,0,,Y,4,11900,2046,,Y,74,F,6,5656.62
17,000032630-00008,1,6,0,00000,0,03,153,00000,'BIG CREEK',,'BELLROSE MAINT. RD','SEC 17 T14S R1E',30.48,1.609,0,0000000000,0,37171500,089075460,159,3,63,63,09,1996,2,0,10,2021,5,3,0,18,0,1,0,0,0,5,0,0,0,A,1,5,7,01,0,00,3,0,6.1,11.3,22.3,0,0,6.1,6.8,32.69,N,0,N,0,0,7,7,7,6,N,2,65.3,2,48.1,7,5,N,5,7,4,,,,521,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,8,7,0,0,0,0,,Y,8,15,2041,,Y,63,G,7,151.64
