STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
18,         000010,1,3,4,00001,0,5 ,029,29448,'CENTRAL RR COMP OF IND',,'SR 1','00.35 N US 50',99.99,0.563,0,,0,39072820,084511073,6,3,01,01,16,1984,2,0,8992,2004,5,16.4,0,6,0,1,1,1,1,5,N,0,0,A,1,2,4,02,0,00,3,0,15.9,22.4,54.2,0,0,15.9,16.8,99.99,R,6.83,R,4.9,0,5,7,7,N,N,8,51.8,8,39.9,7,9,6,5,N,6,,,0,723,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,2006,1,1,0,1,5,1,,Y,N,12797,2031,0,N,18,F,5,910.56
18,         000021,1,1,7,00064,0,6 ,129,00000,'BR BLACK RIVER',,'SR 69  WB I-64 RAM','00.16 W JCT SR 69',99.99,6.918,1,0000000001,1,38115503,087550469,1,3,01,01,01,1967,1,0,912,2011,5,4.5,0,10,0,N,N,N,N,5,0,0,0,A,1,5,3,19,0,00,2,0,99.9,2.7,6.4,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,7,8,97.2,8,97.2,7,N,N,5,9,8,,,0,224,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,1,N,1,,1,0,0,N,N,0,N,30,1,,Y,8,1094,2030,0,N,18,G,7,28.8
18,         000022,1,1,1,00064,0,6 ,129,30024,'BR BLACK RIVER',,'I-64 EBWB','00.16 W JCT SR 69',99.99,6.918,1,0000000001,1,38115183,087550383,1,3,01,01,01,1967,4,0,12196,2014,5,14.6,1,20,0,N,N,1,1,5,0,0,0,A,1,5,3,19,0,00,2,0,99.9,2.7,6.4,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,6,8,97.2,8,97.2,6,N,N,5,9,8,,,0,224,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,1,N,2,,1,0,0,N,N,0,N,30,1,,Y,8,24350,2030,0,N,18,F,6,93.44
18,         000023,1,3,1,00069,0,6 ,129,00000,'BR BLACK RIVER',,'SR 69','00.16 S I-64',99.99,56.813,1,0000000001,1,38114837,087550268,1,3,01,01,02,1967,2,0,2522,2011,5,9.1,0,30,0,N,N,N,N,5,0,0,0,A,1,5,3,19,0,00,2,0,99.9,2.7,6.4,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,7,8,97.2,8,97.2,7,N,N,5,8,8,,,0,523,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,1,N,2,,1,0,0,N,N,0,N,30,1,,Y,8,3002,2030,0,N,18,G,7,58.24
18,         000030,1,3,1,00001,0,5 ,029,00000,'BRUSHY FORK',,'SR 1','07.16 S I-74',99.99,11.858,0,,0,39114153,084542928,17,3,01,01,06,1932,2,0,4241,2014,4,14,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,11,0,00,1,0,13.4,15.2,15.8,0,0,13.4,14.4,99.99,N,0,N,0,0,6,6,7,7,N,0,90.7,0,55.5,6,7,N,5,7,8,,,0,723,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,1984,1,6,0,0,10,1,,Y,7,4183,2031,0,N,18,F,6,227.52
18,         000040,1,3,1,00001,0,5 ,029,00000,'SLAB CAMP CREEK',,'SR 1','05.70 S I-74',99.99,14.207,0,,0,39121624,084553743,17,3,01,01,06,1932,2,0,4241,2014,4,8.5,0,25,0,N,N,1,1,5,0,0,0,A,1,5,1,19,0,00,1,0,13.1,10.9,11.8,0,0,13.4,13.4,99.99,N,0,N,0,0,N,N,N,5,6,0,90.7,0,88.1,6,7,N,5,7,8,,,0,723,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,1973,N,N,0,N,10,1,,Y,8,4195,2033,0,N,18,F,6,158.12
18,         000050,1,3,1,00001,0,5 ,029,66978,'I-74 EB/WB',,'SR 1','00.30 S SR 46',99.99,23.378,0,,,39164271,084573751,9,3,01,01,06,1961,3,4,9210,2009,5,18.8,0,5,0,1,1,1,1,5,N,0,0,A,5,1,4,02,0,00,4,0,18,20.1,64.1,0,0.6,18,18.9,99.99,H,5.12,H,3.3,8.8,7,8,7,N,N,1,64.9,1,38.8,7,9,4,5,N,8,,,0,723,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,2009,1,1,0,1,5,1,,Y,N,12836,2032,0,N,18,G,7,1211.49
18,         000070,1,3,1,00001,0,5 ,047,00000,'WHITEWATER RIVER',,'SR 1','00.31 S US 52',99.99,6.033,0,,0,39213492,084571775,3,3,01,01,07,1978,2,0,3420,2017,5,13.4,0,0,0,1,1,1,1,5,0,0,0,A,1,5,4,02,0,00,7,0,12.6,28,187.3,0,0,12.6,13.5,99.99,N,0,N,0,0,6,6,7,7,N,8,49.9,8,38.2,6,6,N,5,9,6,,,0,723,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,3,0,0,9,0,,Y,7,4070,2037,0,N,18,F,6,2528.55
18,         000080,1,3,1,00001,0,5 ,047,08182,'BUTLERS RUN',,'SR 1','01.12 N SR 101',99.99,17.892,0,,0,39263430,085012567,8,3,01,01,06,1931,2,0,3563,2014,4,7.9,0,30,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,1,0,12.4,15.2,16.1,0,0,12.4,13.3,99.99,N,0,N,0,0,N,N,N,5,5,0,54.2,0,32.3,5,6,N,5,7,8,,,0,723,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,1961,N,N,0,N,10,1,,Y,8,5831,2033,0,N,18,F,5,214.13
18,         000090,1,3,1,00001,0,5 ,047,08182,'BUTLERS RUN',,'SR 1','01.65 N SR 101',99.99,18.744,0,,0,39265435,085014966,8,3,01,01,06,1931,2,0,3563,2014,5,7.9,0,45,0,N,N,0,0,5,0,0,0,A,1,5,1,19,0,00,1,0,10.9,8.5,9.4,0,0,10.9,10.9,99.99,N,0,N,0,0,N,N,N,6,5,8,71,8,55.1,5,5,N,5,7,8,,,0,723,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,N,N,0,N,10,1,,Y,8,5831,2033,0,N,18,F,5,102.46
