STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
20,    NKA-OSB-006,1,8,8,00000,0,00,141,00000,'Osborne Canal',,'Bloomington CmtyRd','6.6 mi. NW of Osborne  KS',99.99,0,0,,0,39280071,098484353,320,3,25,69,09,1960,1,0,5,2018,1,4.7,0,0,0,1,N,N,N,4,0,0,0,P,1,5,3,02,0,00,1,0,4.3,8.3,8.5,0,0,4.5,4.9,99.99,N,0,N,0,0,4,6,5,6,N,7,13.6,7,9.1,3,6,N,0,9,3,,,0,524,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,8,0,0,0,,0,,Y,5,5,2042,,Y,69,P,4,41.65
20,   NKA-AUKD-001,1,4,4,00000,0,00,137,00000,'Norton Dam Spillway',,'County Road W-3','Norton Dam',99.99,0,0,,0,39475795,099553499,11,3,69,69,09,1963,2,0,40,2018,5,6.9,0,0,0,1,1,0,0,5,0,0,0,P,1,5,1,04,0,00,3,0,7.3,10.1,33.8,0,0,7.3,7.9,99.99,N,0,N,0,0,7,7,7,8,N,8,37.3,8,28.5,7,6,N,3,9,7,,,0,524,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,8,35,2040,,Y,69,G,7,267.02
20,   NKA-WUSD-001,1,3,1,00258,0,00,163,00000,'Webster Dam Spillway',,'State Road 258','1 MI S. of US 24',99.99,0,0,,0,39245656,099253043,6,3,69,69,06,1958,2,0,100,2018,5,8.3,0,0,0,1,1,0,0,5,0,0,0,A,1,5,1,04,0,00,3,0,7.3,10.2,36.9,0,0,7.3,8.4,99.99,N,0,N,0,0,7,7,7,8,N,8,27.5,8,21.1,6,6,N,5,9,5,,,0,524,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,9,0,0,0,5,0,,Y,8,120,2046,,Y,69,G,7,309.96
20,  NKA-GEUSD-001,1,4,1,00000,0,00,123,00000,'Glen Elder Dam Spillway',,'Glen Elder Dam Rd','1.6 MI S. of Glen Elder',99.99,0,0,,0,39280517,098184340,19,3,69,69,06,1966,2,0,100,2018,5,9.1,0,0,0,1,1,1,1,5,0,0,0,P,1,5,1,04,0,00,12,0,7.3,15.8,197.8,0,0.3,7.3,8.4,99.99,N,0,N,0,0,7,7,7,7,N,3,31,3,23.9,6,6,N,5,9,7,,,0,524,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,10,0,,Y,8,110,2042,,Y,69,G,7,1661.52
20,00000000000B104,1,6,1,01006,0,01,013,00000,'DELAWARE RIVER',,'IRR BIA RTE 1006','0.6KM W OF 130 & FOXTAIL',99.99,4.344,0,0000000000,0,39414650,095394548,10,3,62,62,09,1970,2,0,150,2021,0,7.1,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,02,0,00,1,0,5.5,21,21.5,0,0,8.5,8.6,99.99,N,0,N,0,0,5,4,4,3,N,2,27.5,2,14.4,4,6,N,3,7,6,31,1,30,1223,24,N  ,N  ,N  ,,,,0,0,1000,2023,,0,               ,0,N,2,,0,1,0,1,6,0,0,15,0,,Y,4,205,2043,0,Y,62,P,4,184.9
20,00000000000B106,1,6,1,01006,0,01,013,00000,'PLUM CREEK',,'IRR BIA RTE 1006','0.4KM W.OF 130 & DEWBERRY',99.99,1.448,0,0000000000,0,39414740,095414890,10,3,62,62,09,1970,2,0,50,2021,3,8,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,02,0,00,1,0,8,18.1,18.6,0.3,0.3,8,8.6,99.99,N,0,N,0,0,5,6,5,6,N,2,30.7,2,18,5,6,N,4,7,8,,,0,1223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,1,1,0,0,15,0,,Y,4,105,2043,0,Y,62,F,5,159.96
20,00000000000B116,1,6,1,01019,0,01,013,00000,'GREGGS CREEK',,'IRR BIA RTE 1019','1.5KM N OF COYOTE & K20',99.99,2.735,0,0000000000,0,39404630,095425020,10,3,62,62,09,1960,2,0,25,2021,2,7,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,02,0,00,1,0,8,18.1,18.3,0,0,8.4,8.5,99.99,N,0,N,0,0,6,6,6,5,N,2,29.5,2,25.1,6,6,N,4,7,7,,,0,1223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,1,1,0,0,10,0,,Y,5,70,2043,0,Y,62,F,6,155.55
20,00000000000B117,1,6,1,01006,0,01,013,00000,'DEEP CREEK',,'IRR BIA RTE 1006','0.7KM E OF 130 & FOXTAIL',99.99,5.471,0,0000000000,0,39414679,095385917,6,3,62,62,09,1985,2,0,100,2021,5,8.6,0,53,0,0,0,0,0,5,0,0,0,A,1,5,2,01,0,00,3,0,8.6,21.3,32.4,0,0,8.6,9.2,99.99,N,0,N,0,0,6,6,6,5,N,2,44.4,2,32.7,6,7,N,5,7,8,,,0,1223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,1,6,0,0,10,0,,Y,8,210,2043,0,Y,62,F,6,298.08
20,00000000000B118,1,6,1,01012,0,01,013,00000,'DEEP CREEK',,'IRR BIA RTE 1012','0.8KM N OF 130&GOLDFINCH',99.99,4.344,0,0000000000,0,39421036,095382056,5,3,62,62,09,1984,2,0,500,2023,5,7,0,0,0,0,0,0,0,5,0,0,0,A,1,5,2,01,0,00,3,0,7,13.4,19.5,0,0,8.6,9.2,99.99,N,0,N,0,0,6,6,6,5,N,2,56.9,2,34.1,6,5,N,5,7,8,38,1,0,1223,24,N  ,N  ,N  ,,,,0,0,52,2023,,0,               ,0,N,2,,0,1,0,1,5,3,6,10,0,,Y,5,1010,2043,0,Y,62,F,6,179.4
20,00000000000B119,1,6,1,01008,0,01,013,00000,'TRASH CREEK',,'IRR BIA RTE 1008','0.8KM W GOLDFINCH & 140',99.99,1.126,0,0000000000,0,39423880,095384341,5,3,62,62,09,1985,2,0,150,2023,5,8,0,0,0,0,0,0,0,5,0,0,0,A,1,5,2,01,0,00,3,0,8,17.7,25.6,0,0,8.6,9.2,99.99,N,0,N,0,0,7,7,4,3,N,2,41.4,2,32.6,4,6,N,5,5,8,35,1,25,1223,24,N  ,N  ,N  ,,,,0,0,150,2023,,0,               ,0,N,2,,0,1,0,1,1,0,0,10,0,,Y,3,305,2043,0,Y,62,P,4,235.52
