STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
21,001B00004N     ,1,3,1,00076,0,08,001,00000,'Blue Branch',,'KY-76','.6 MI NW OF N-JCT KY 206',99.99,11.436,0,,,37121200,085080400,29,3,01,01,08,1958,2,0,555,2022,2,6.1,0,0,0,N,N,N,N,3,0,0,0,A,1,5,1,19,0,00,2,0,6.1,3,6.4,0,0,6.1,9.4,99.99,N,0,N,99.9,0,N,N,N,5,6,0,54.4,0,39.9,6,3,N,5,6,8,,,0,723,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,1969,N,N,N,N,0,0,,Y,8,555,2042,,N,21,F,6,60.16
21,001B00005N     ,1,3,1,00076,0,08,001,00000,'BR OF CASEY CREEK',,'KY-76','.65 MI N OF JCT KY 551',99.99,17.597,0,,,37132400,085105900,48,3,01,01,08,1958,2,0,941,2021,2,6.7,0,45,0,0,N,N,N,3,0,0,0,A,1,5,1,19,0,00,3,0,7.9,5.2,16.2,0,0,6.7,11.9,99.99,N,0,N,0,0,N,N,N,7,6,0,54.4,0,40.8,6,4,N,5,6,8,,,0,1023,48,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,N,N,N,N,0,0,,Y,8,941,2041,,N,21,F,6,192.78
21,001B00006N     ,1,3,1,00076,0,08,001,00000,'CASEY CREEK',,'KY-76','.5 MI S OF JCT KY 551',99.99,18.754,0,,,37135900,085110900,55,3,01,01,08,1969,2,0,941,2021,4,6.7,0,0,0,1,0,1,0,3,0,0,0,A,1,5,2,04,0,00,3,0,8.5,30.5,83.7,0.5,0.5,8.5,10.1,99.99,N,0,N,0,0,5,5,6,7,N,1,69,1,41.4,5,5,N,5,9,8,,,0,723,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,1,0,0,0,0,,Y,8,941,2041,,N,21,F,5,845.37
21,001B00007N     ,1,3,1,00206,0,08,001,00000,'RUSSELL CREEK',,'KY-206','.05 MI SW OF JCT KY 1323',99.99,1.442,0,,,37062000,085172100,10,3,01,01,07,1935,2,0,5890,2021,4,6.7,0,30,0,1,1,1,1,3,0,0,0,A,1,5,1,04,0,00,5,0,7.2,14.2,73.2,0.2,0.2,7.2,8.3,99.99,N,0,N,0,0,7,5,6,5,N,1,66,1,39.6,5,2,N,5,9,8,34,1,7.3,723,24,N  ,N  ,N  ,,,,750,0,750,,,,               ,0,N,2,,0,0,0,1,3,0,0,8,0,,Y,8,5890,2041,,N,21,F,5,607.56
21,001B00008N     ,1,3,1,00206,0,08,001,00000,'BARNETT CREEK',,'KY-206','2 MI NE OF N-JCT KY 76',99.99,21.852,0,,,37124300,085053100,32,3,01,01,08,1940,2,0,791,2021,2,6.1,0,0,0,0,0,0,0,3,0,0,0,A,1,5,1,04,0,00,3,0,7.2,9.1,30.2,0.2,0.2,7.2,8.3,99.99,N,0,N,0,0,6,6,6,6,N,1,66.7,1,40,6,4,N,5,9,8,,,0,1023,48,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,3,0,0,0,0,,Y,8,791,2041,,N,21,F,6,250.66
21,001B00009N     ,1,3,1,00206,0,08,001,00000,'SPRUCE PINE CREEK',,'KY-206','1.0 MI WEST OF CASEY CL',99.99,23.728,0,,,37123900,085041700,32,3,01,01,08,1940,2,0,791,2021,2,5.8,0,0,0,0,0,0,0,3,0,0,0,A,1,5,1,04,0,00,3,0,6,9.1,30.2,0.3,0.3,6,7.1,99.99,N,0,N,0,0,6,6,6,5,N,1,65,1,39,6,2,N,5,9,8,34,1,3,723,24,N  ,N  ,N  ,,,,260,0,259,,,,               ,0,N,2,,0,0,0,1,3,0,0,0,0,,Y,8,791,2041,,N,21,F,6,214.42
21,001B00010N     ,1,3,1,00076,0,08,001,00000,'GREEN RVR @NEATSVILLE',,'KY-76','.5 MI S OF N-JCT KY 206',99.99,9.471,0,,,37113100,085074900,0,3,01,01,08,1947,2,0,881,2023,4,6.7,0,0,0,0,1,1,1,3,0,0,0,A,1,5,2,04,0,00,7,0,7.9,30.5,136.6,0.8,0.8,7.9,10.2,99.99,N,0,N,0,0,6,6,7,6,N,1,55.1,1,33.2,6,5,N,5,9,8,,,0,1023,48,N  ,Y60,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,3,0,0,10,0,,Y,8,881,2043,,N,21,F,6,1393.32
21,001B00011N     ,1,3,1,00076,0,08,001,00000,'DRYE BRANCH',,'KY-76','1.1 MI N OF S-JCT KY 206',99.99,7.517,0,,,37103300,085072300,0,3,01,01,08,1957,2,0,881,2023,2,6.7,0,38,0,N,N,N,N,3,0,0,0,P,1,5,1,19,0,00,2,0,6.7,4.8,6.6,0,0,6.7,19.3,99.99,N,0,N,0,0,N,N,N,5,5,0,22.7,0,13.6,4,4,N,0,8,6,,,0,723,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,N,N,N,N,10,0,,Y,8,881,2043,,N,21,F,5,127.38
21,001B00013N     ,1,3,1,00080,0,08,001,00000,'RUSSELL CREEK',,'KY-80','1.5 MI WEST OF RUSSELL CL',99.99,34.434,0,,,37043400,085093000,24,3,01,01,07,1933,2,0,2786,2023,4,6.1,0,0,0,1,1,1,1,3,0,0,0,A,1,5,1,04,0,00,3,0,7,11,35.7,0.2,0.2,7,7.9,99.99,N,0,N,0,0,6,4,6,7,N,1,53.3,1,32.1,4,2,N,5,8,8,34,1,3.5,723,24,N  ,N  ,N  ,,,,370,0,369,,,,               ,0,N,2,,0,0,0,1,3,0,0,6,0,,Y,8,2786,2043,,N,21,P,4,282.03
21,001B00014N     ,1,3,1,00055,0,08,001,00000,'GLENS FORK',,'KY-55','.10 MI WEST OF JCT KY 92',99.99,10.229,0,,,37030700,085155100,13,3,01,01,07,1932,2,0,2402,2023,2,7,0,0,0,1,1,1,1,3,0,0,0,P,1,5,1,04,0,00,3,0,7.3,9.1,30.2,0,0,7.3,8.2,99.99,N,0,N,0,0,6,6,6,7,N,1,37.3,1,22.5,6,2,N,0,8,8,34,1,3,724,12,N  ,N  ,N  ,,,,245,0,245,,,,               ,0,N,2,,0,0,0,1,4,0,1,10,0,,Y,8,2402,2043,,N,21,F,6,247.64
