STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
22,        1LA0108,1,8,1,00000,0,00,075,06120,'OUTFALL CANAL',,'OLSON DRIVE','1 KM S OF BACK GATE',99.99,0,0,,,29505130,090003360,10,3,73,73,19,2003,2,0,1000,2015,5,7.3,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,01,0,00,5,0,7.3,5.8,29,0,0,12.2,13.1,99.99,N,0,N,0,0,6,7,7,7,N,1,80.6,1,48.6,7,8,N,5,8,8,38,1,29,323,24,N  ,Y60,N  ,,0321,,10,2,13,2023,,,               ,0,N,2,,0,0,0,2,0,0,0,10,0,1,Y,5,1100,2037,,Y,73,F,6,379.9
22,        1LA0109,1,8,0,00000,0,00,075,06120,'BAYOU BARRIERE',,'MAGAZINE ROAD','BACK GATE',99.99,0,0,,,29512590,090003750,10,3,73,73,19,1974,2,0,1000,2015,5,7.1,0,33,0,1,1,1,1,5,0,0,0,A,1,5,1,01,0,00,3,0,8.2,5.8,17.4,0,0,12.4,13.1,99.99,N,0,N,0,0,7,7,8,7,N,1,75.4,1,45.4,7,9,N,5,8,8,38,1,17.4,323,24,N  ,N  ,N  ,,,,0,0,6,2023,,,               ,0,N,2,,0,0,2008,1,0,0,0,10,0,1,Y,5,1100,2037,,Y,73,G,7,227.94
22,        1LA0368,1,8,8,00000,0,00,075,06120,'CANAL',,'MAGAZINE ACCESS RD','10 M S OF MAGAZINE RD',99.99,0,0,,,29501440,090005180,20,3,73,73,19,1989,2,0,30,2015,5,6.1,0,15,1,1,0,1,0,5,0,0,0,A,1,5,1,01,0,00,5,0,6.1,5.8,29,0,0,7.3,8.2,99.99,N,0,N,0,0,6,6,6,7,N,1,74.1,1,44.4,6,6,N,5,8,8,38,1,29,323,24,N  ,N  ,N  ,,,,12,17,30,2023,,,               ,0,N,2,,0,0,0,2,0,0,0,10,0,1,Y,5,34,2037,,Y,73,F,6,237.8
22,00000000000S601,1,6,1,03004,0,08,009,48750,'TUNICA CREEK',,'IRR BIA RTE 3004','2 KM S OF MARKSVILLE  LA',99.99,0.64,0,0000000000,0,31063890,092032710,199,3,62,62,19,1999,2,0,100,2023,5,6.5,0,0,0,N,N,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,9.7,4.3,8.8,0,0,9.7,9.7,99.99,N,0,N,0,0,N,N,N,7,8,2,43.2,2,34.2,8,7,N,5,8,8,,,0,223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,N,N,N,N,1,0,,Y,8,120,2043,0,Y,62,G,8,85.36
22,000043525-00121,1,6,1,00000,0,04,025,00000,'GREENS CREEK',,'DRY BAYOU ROAD','2.1 MI NE of RHINEHART',30.48,1.127,0,0000000000,0,31392280,091584620,159,3,63,63,09,2012,2,0,0,2023,0,3,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,03,0,00,1,0,5,17.1,20.1,0.2,0.1,5,5.2,32.69,N,0,N,0,0,6,6,7,6,N,2,20.9,2,15.4,4,3,N,5,7,5,,,,1023,24,Y24,N  ,N  ,1023,,,,,,,,,               ,0,N,2,,0,0,0,5,0,0,0,0,0,,Y,4,1,2043,,Y,63,F,6,104.52
22,000043546-00015,1,6,0,00000,0,04,111,00000,'CECIL CREEK',,'CECIL CREEK ROAD','SEC 6 T22N R3E',30.48,0.966,0,0000000000,0,32551020,092054080,11,3,63,63,09,2005,2,0,3,2024,5,5.5,0,0,0,0,1,1,1,5,0,0,0,A,1,5,5,01,0,00,1,0,5,19.8,20.4,0,0,5,5.5,32.69,N,0,N,0,0,7,7,8,7,N,3,54.4,3,41.7,7,3,N,5,6,6,,,,1124,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,9,1,0,1,0,0,,Y,5,10,2044,,Y,63,G,7,112.2
22,000043546-00020,1,6,0,00000,0,04,111,00000,'CUT-OFF CREEK',,'S. GAS LINE RD.','2 MI S OF MAINT FACILITY',30.48,2.575,0,0000000000,0,32475580,092041140,159,3,63,63,09,2005,2,0,3,2024,5,5.5,0,0,0,0,1,1,1,5,0,0,0,A,1,5,5,01,0,00,1,0,5,19.8,20.4,0,0,5,5.5,32.69,N,0,N,0,0,8,8,8,7,N,3,54.4,3,41.7,8,3,N,5,6,6,,,,1124,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,9,1,0,1,0,0,,Y,5,10,2044,,Y,63,G,8,112.2
22,000043546-00021,1,6,0,00000,0,04,111,00000,'CECIL CREEK (BIG LAKE)',,'S. GAS LINE RD.','SEC 31 T22N R3E',30.48,6.276,0,0000000000,0,32555640,092061500,5,3,63,63,09,2005,2,0,10,2024,5,5.5,0,0,0,0,1,1,1,5,0,0,0,A,1,5,5,01,0,00,1,0,5,19.8,20.4,0,0,5,5.5,32.69,N,0,N,0,0,7,8,8,7,N,3,54.4,3,41.7,8,3,N,5,6,7,,,,1124,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,9,1,0,1,0,0,,Y,5,10,2044,,Y,63,G,7,112.2
22,000043546-00052,1,6,0,00000,0,04,067,00000,'BAYOU DRAIN DITCH',,'GRAVEL PIT ROAD','Sec 23 T 22N R 4E',30.48,3.219,0,0000000000,0,32530300,092014320,159,3,63,63,09,2012,2,0,10,2023,A,3.7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,02,0,00,1,0,5.9,14.9,15.8,0,0,5.9,6.6,32.69,N,0,N,0,0,7,8,8,8,N,3,72.6,3,55.3,8,4,N,5,7,8,,,,1023,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,1,0,0,0,0,,Y,5,15,2043,,Y,63,G,7,104.28
22,000043614-00001,1,6,0,00000,0,04,099,00000,'LITTLE ALABAMA BAYOU',,'HAPPY TOWN ROAD','SEC 111 T7S R8E',30.48,1.287,0,0000000000,0,30252280,091411080,159,3,63,63,09,2001,1,0,30,2024,0,3.7,0,0,0,0,0,1,1,5,0,0,0,A,1,5,1,01,0,00,5,0,4.4,7,34.4,0,0,4.4,4.8,32.69,N,0,N,0,0,7,8,8,7,N,3,58.1,3,44.5,8,6,N,5,7,7,,,,1124,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,9,1,0,0,0,0,,Y,5,35,2044,,Y,63,G,7,165.12
22,000043640-00107,1,6,0,00000,0,04,023,00000,'ROADSIDE CANAL',,'OFF HIGHWAY 27','NATURE TRAIL',30.48,0.032,0,0000000000,0,29515820,093271980,159,3,63,63,09,1985,2,0,76,2023,5,7.3,0,0,1,0,0,0,0,5,0,0,0,A,1,5,1,01,0,00,3,0,6.8,7,21.6,0,0,7.2,7.3,32.69,N,0,N,0,0,6,6,6,7,N,1,34.5,1,20.9,6,5,N,5,7,6,,,,523,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,1,0,0,4,0,,Y,8,80,2043,,Y,63,F,6,157.68
22,000043640-00109,1,6,0,00000,0,04,023,00000,'ROADSIDE CANAL',,'OFF HIGHWAY 27','POOLS 1A/1B',30.48,0.032,0,0000000000,0,29524380,093253180,159,3,63,63,09,1985,2,0,58,2023,5,7.3,0,0,1,0,0,0,0,5,0,0,0,A,1,5,1,01,0,00,3,0,6.8,7,21.6,0,0,7.2,7.3,32.69,N,0,N,0,0,6,6,6,7,N,1,59.9,1,35.4,6,5,N,5,7,6,,,,523,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,1,0,0,0,0,,Y,8,80,2043,,Y,63,F,6,157.68
22,000043640-00132,1,6,0,00000,0,04,023,00000,'ROADSIDE CANAL',,'UNNAMED','CANAL ALONG LA HWY. 27',30.48,0.032,0,0000000000,0,29551560,093224920,159,3,63,63,09,2012,2,0,65,2021,A,7.3,0,0,1,1,0,0,0,5,0,0,0,A,1,5,1,01,0,00,3,0,7.2,7,21.3,0,0,7.2,7.3,32.69,N,0,N,0,0,8,8,8,8,N,3,62.6,3,48.1,8,5,N,5,8,7,,,,421,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,9,1,0,8,0,0,,Y,8,80,2041,,Y,63,G,8,155.49
