STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
26,000000000000007,1,2,1,00023,0,02,001,01040,'BLACK RIVER',,'US-23','8.7 MI N OF HARRISVILLE',30.48,30.577,1,0000017257,4,44462814,083192703,11,3,01,01,02,1935,2,0,4714,2007,2,13.7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,04,0,00,1,0,11.5,9.1,9.1,0,0,12.2,14,99.99,N,0,N,99.9,0,7,6,6,5,N,6,97.2,6,59,6,6,N,5,7,6,,,,620,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,1,0,,1,6,0,1,7,1,,Y,U,5300,2029,,N,26,F,6,127.4
26,000000000000009,1,4,0,00120,0,02,001,19320,'AU SABLE RIVER',,'BAMFIELD ROAD FH08','4 MI W OF GLENNIE',30.48,7.175,0,0000030100,76,44333820,083481190,18,3,02,02,07,1978,2,0,1366,2019,5,8.8,0,30,0,0,1,1,1,5,0,0,0,A,1,5,5,05,0,00,4,0,8.8,16.7,67.1,0,0,8.8,9.3,99.99,N,0,N,99.9,0,5,5,6,7,N,6,65.1,6,38.9,5,5,N,5,8,8,,,,519,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,,2,6,2,0,5,0,,Y,8,1667,2039,,N,26,F,5,624.03
26,000000000000010,1,4,0,00120,0,02,001,53380,'PINE RIVER',,'MIKADO GLENNIE RD','1.5 MI W OF MIKADO',30.48,14.09,0,0000017274,7,44352538,083265312,5,3,02,02,07,1995,2,0,1450,2003,5,11.9,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,05,0,00,1,0,9.7,22.8,23.7,0,0,10.1,10.4,99.99,N,0,N,99.9,0,6,6,8,5,N,1,75.7,1,45.4,6,5,N,5,7,6,,,,519,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,,1,1,0,1,6,0,,Y,8,1960,2023,,N,26,F,6,246.48
26,000000000000011,1,4,0,00120,0,02,001,53860,'VAN ETTEN CREEK',,'MIKADO ROAD','0.5 MI E OF MIKADO',30.48,16.77,0,0000017274,7,44352745,083245190,5,3,02,02,07,2006,2,0,1325,2005,5,12.2,0,15,0,1,1,1,1,5,0,0,0,A,1,5,5,05,0,00,1,0,12.2,19.7,21.3,0,0,12.2,13.3,99.99,N,0,N,99.9,0,7,7,8,7,N,1,58.8,1,35.3,7,7,N,5,8,8,,,,519,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,,1,2,0,1,6,0,,Y,8,2650,2025,,N,26,G,7,283.29
26,000000000000012,1,4,0,00166,0,02,001,37380,'BLACK RIVER',,'SHAW ROAD','1.8 W & 0.3 S OF ALCONA',30.48,5.456,0,0000017261,2,44450331,083200876,10,3,02,02,07,1994,2,0,211,2003,5,11.6,0,11,0,1,1,1,1,5,0,0,0,A,1,5,7,01,0,00,1,0,10.5,8.5,8.8,0.4,0.4,9.1,10.5,99.99,N,0,N,99.9,0,8,7,7,8,N,2,51,2,35,7,6,N,5,8,7,,,,519,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,,8,6,0,8,20,0,,Y,8,290,2023,,N,26,G,7,92.4
26,000000000000013,1,4,0,00000,0,02,001,12460,'THUNDER BAY RIVER',,'HURBERT ROAD','1 MI N 6.5 MI W OF SPRUCE',30.48,2.614,0,0000017262,7,44513266,083354293,2,3,02,02,07,1955,2,0,1730,2003,0,10.1,0,0,0,1,1,1,1,5,0,0,0,A,1,5,3,19,0,00,5,0,9.2,3.9,19.8,0,0,10.1,11.2,99.99,N,0,N,99.9,0,N,N,N,5,5,2,43.6,2,32.7,5,5,N,5,7,8,31,1,30.5,519,24,N  ,N  ,N  ,,,,675,80,90,,,,               ,0,N,2,,0,0,,N,N,0,0,0,0,,Y,8,2375,2023,,N,26,F,5,221.76
26,000000000000014,1,4,0,00161,0,02,001,01040,'SUCKER CREEK',,'HUBBARD LAKE ROAD','8 MI N OF M-72',30.48,21.51,0,0000017275,4,44462590,083311803,18,3,02,02,07,1936,2,0,830,2003,0,9.1,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,01,0,00,1,0,9.3,7.9,8.2,0,0,10.1,10.1,99.99,N,0,N,99.9,0,4,4,5,5,N,0,32.7,0,19.6,4,6,N,5,4,5,31,1,16.5,519,24,N  ,N  ,N  ,,,,360,100,460,,,,               ,0,N,2,,0,0,,1,6,0,0,0,0,,Y,3,1125,2023,,N,26,P,4,82.82
26,000000000000015,1,4,0,00167,0,02,001,53880,'PINE RIVER',,'COUNTY HWY F41','3.00 MI S OF MIKADO',30.48,4.337,0,0000017271,7,44330201,083251948,18,3,02,02,07,1956,2,0,2430,2003,4,11,0,0,0,1,1,1,1,5,0,0,0,A,1,5,3,02,0,00,4,0,9.6,14.9,59.7,0.2,0.2,9.1,10.7,99.99,N,0,N,99.9,0,5,6,5,5,N,1,48.2,1,29.8,5,4,N,5,8,8,,,,519,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,,1,1,0,0,8,0,,Y,U,3280,2023,,N,26,F,5,638.79
26,000000000000016,1,4,0,00167,0,02,001,53880,'VAN ETTEN CREEK',,'COUNTY HWY F41','1.25 S OF MIKADO',30.48,6.887,0,0000017271,7,44342511,083252024,18,3,02,02,07,1956,2,0,2770,2003,4,11,0,30,0,1,1,1,1,5,0,0,0,A,1,5,2,19,0,00,2,0,11.9,5.1,12.2,0.2,0.2,11,13.2,99.99,N,0,N,99.9,0,N,N,N,6,6,2,39.6,2,24.3,6,5,N,5,5,8,,,,519,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,,1,6,0,0,8,0,,Y,8,3740,2023,,N,26,F,6,161.04
26,000000000000017,1,4,0,00167,0,02,001,53880,'VAN ETTEN CREEK',,'COUNTY HWY F41','1 MI S OF MIKADO',30.48,7.4,0,0000017271,7,44344174,083252036,18,3,02,02,07,1956,2,0,2770,2003,4,11,0,30,0,1,1,1,1,5,0,0,0,A,1,5,2,19,0,00,2,0,12,5.1,12.2,0.2,0.2,11.9,13.2,99.99,N,0,N,99.9,0,N,N,N,6,6,2,55.2,2,35.2,6,5,N,5,8,8,,,,519,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,,1,6,0,0,8,0,,Y,8,3740,2023,,N,26,F,6,161.04
