STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
27,000000000006389,1,4,1,00013,0,08,023,27023,'CHIPPEWA RIVER',,'CO. ST. AID HWY 13','1 MILES NE OF WATSON  MN',99.99,0,0,0000000013,0,45011920,095472832,18,3,02,70,06,1938,2,0,520,2022,5,11.5,0,0,0,1,0,0,0,4,N,0,0,A,1,5,5,02,0,00,5,0,10.9,9.1,46,0,0,10.9,11.9,99.99,N,0,N,0,0,7,7,5,5,N,1,37.3,1,24.7,5,6,N,5,8,8,38,2,46,824,24,N  ,Y60,N  ,,0920,,253,25,380,2024,,,               ,0,N,2,,0,0,1986,1,1,0,0,13,0,1,Y,8,558,2042,0,Y,70,F,5,547.4
27,000000000006390,1,4,1,00009,0,08,023,27023,'WATSON SAG CHANNEL',,'CSAH 9','1 MILE NE OF WATSON  MN.',99.99,0,1,0000000009,0,45012910,095475208,18,3,02,70,06,1938,2,0,308,2022,5,11.5,0,0,0,1,0,0,0,4,N,0,0,A,1,5,5,02,0,00,6,0,9.7,9.1,55.1,0,0,9.7,10.7,99.99,N,0,N,0,0,7,7,5,6,N,8,28.2,8,14.6,4,6,N,5,8,6,31,1,102.7,623,24,N  ,Y60,N  ,,0826,,169,17,254,2024,,,               ,0,N,2,,0,0,1986,1,1,0,0,26,0,1,Y,8,265,2041,0,Y,70,F,5,589.57
27,000000000006391,1,4,1,00033,0,08,073,27073,'MINN. RIV.',,'CSAH #33','4 MI. WNW OF WATSON  MN',99.99,0,0,0000000033,0,45011900,095520900,11,3,02,70,06,1938,2,0,330,2021,9,9.7,0,0,0,1,0,0,0,4,N,0,0,A,5,5,2,01,0,00,12,0,9.7,6,72.9,2.4,1.6,9.7,14.9,99.99,N,0,N,0,0,7,7,5,5,N,1,58.1,1,34.7,5,6,N,5,8,7,,,132.5,924,24,N  ,Y24,N  ,,0822,,994,99,1491,2024,,,               ,0,N,2,,0,0,1996,1,1,0,1,13,0,1,Y,8,500,2040,0,Y,70,F,5,1086.21
27,000000000007435,1,4,1,00105,0,03,021,27021,'GULL LAKE RES.',,'CR 105','0.1 MI N OF JCT CSAH 70',99.99,0,0,,,46243970,094211220,16,3,70,70,09,1913,1,0,450,2020,0,3.6,0,0,0,0,0,0,0,4,0,0,0,P,1,5,2,11,0,00,7,0,3.2,3.3,22.8,0.3,0.5,3.2,5.2,99.99,N,0,N,0,0,5,5,5,7,N,1,27.9,1,19.8,5,2,N,5,8,5,33,1,44.4,724,24,N  ,Y60,N  ,,0621,,93,9,140,2025,,,               ,0,N,3,,0,0,1971,1,6,0,0,3,0,1,Y,8,180,2044,0,Y,70,F,5,118.56
27,00000000000F115,1,6,1,00002,0,02,113,53458,'RED  LAKE  RIVER',,'IRR BIA RTE  2','WEST BOUNDRY RED LAKE RES',99.99,1.449,0,0000000000,0,47592800,095345690,44,3,62,62,09,1963,2,0,70,2023,2,7.3,0,45,0,0,1,0,0,5,N,0,0,P,1,5,4,02,0,00,2,0,7.3,18.3,36.6,0.5,0.5,7.3,8.2,99.99,N,0,N,0,0,6,7,7,8,N,1,27.3,1,19.1,5,6,N,3,7,8,,,0,923,24,N  ,Y60,N  ,,0819,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,1,1,0,0,10,0,,Y,8,100,2043,0,Y,62,F,6,300.12
27,00000000000F116,1,6,1,00003,0,02,029,00000,'CLEARWATER RIVER',,'IRR BIA RTE 3','RES BOUNDARY 2M NE BERNER',99.99,7.55,0,0000000000,0,47495767,095253743,37,3,62,62,09,1964,2,0,150,2023,4,10.4,0,0,0,0,1,1,0,5,N,0,0,A,1,5,3,02,0,00,1,0,9.1,23.8,23.8,0.5,0.5,9.1,10.1,99.9,N,0,N,0,0,5,5,7,7,N,1,31.4,1,18.1,5,6,N,5,7,7,,,0,923,24,N  ,N  ,N  ,,,,0,0,350000,2023,,0,               ,0,N,2,,0,1,1984,1,6,0,0,15,0,,Y,5,200,2043,0,Y,62,F,5,240.38
27,00000000000F124,1,6,1,00018,0,02,007,53458,'BLACKDUCK  RIVER',,'IRR  BIA  RTE   18','12 KM NE OF REDBY',99.99,15.456,0,0000000000,0,47533410,094455570,32,3,62,62,09,1976,2,0,400,2023,5,9.7,0,0,0,1,1,1,1,5,N,0,0,A,1,5,5,02,0,00,5,0,9.7,22.9,102.7,0.5,0.5,9.7,10.7,99.99,N,0,N,0,0,6,7,7,5,N,1,44.5,1,32.7,7,6,N,5,7,8,,,0,923,24,N  ,Y60,N  ,,0819,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,1,1,0,0,20,0,,Y,4,600,2043,0,Y,62,F,6,1098.89
27,00000000000F125,1,6,1,00018,0,02,007,53458,'BATTLE  RIVER',,'IRR BIA RTE  18','19 KM  SE OF PONEMAH',99.99,23.345,0,0000000000,0,47574000,094442360,40,3,62,62,09,1978,2,0,400,2023,6,7.1,0,45,0,1,1,1,1,5,N,0,0,A,1,5,5,02,0,00,2,0,9.4,25.3,51.8,0.5,0.5,9.9,10.9,99.99,N,0,N,0,0,7,7,6,5,N,1,50.3,1,38.5,6,7,N,5,5,8,,,0,923,24,N  ,Y60,N  ,,0819,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,1,1,0,0,20,0,,Y,5,500,2043,0,Y,62,F,6,564.62
27,00000000000F126,1,6,1,00018,0,02,007,00000,'HAY  CREEK',,'IRR BIA  RTE  18','9KM NORTHEAST OF REDBY MN',99.99,12.075,0,0000000000,0,47523000,094475800,8,3,62,62,09,1986,2,0,400,2023,6,9.8,0,0,0,1,1,0,0,5,N,0,0,A,1,5,1,01,0,00,1,0,9.8,9.1,9.1,0,0,9.8,10.4,99.99,N,0,N,0,0,5,5,7,7,N,1,63.7,1,39.2,5,7,N,5,8,6,,,0,923,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,1,0,0,0,20,0,,Y,8,600,2043,0,Y,62,F,5,94.64
27,00000000000F127,1,6,1,00019,0,02,029,53458,'RED LAKE RIVER',,'IRR BIA RTE 19','35KM NW OF RED LAKE  MN',99.99,15.295,0,0000000000,0,47581190,095234220,40,3,62,62,09,2000,2,0,300,2023,9,7.2,0,0,0,1,1,1,1,5,N,0,0,A,1,5,5,02,1,01,3,0,9.6,13.8,41.4,0,0,9.6,10.2,99.99,N,0,N,0,0,7,8,7,7,N,1,68.4,1,40.6,7,6,N,5,8,7,,,0,923,24,N  ,Y60,N  ,,0819,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,1,1,0,1,15,0,,Y,8,400,2043,0,Y,62,G,7,422.28
