STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
29,00000000MING001,1,6,0,00000,0,03,223,36967,'DITCH 15',,'SPILLWAY ROAD','SEC 31 T27N R8E',30.48,0.161,0,0000000000,0,36561800,090132340,35,3,63,63,09,2016,2,0,75,2023,0,4.9,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,05,0,00,1,0,6,15.8,16.5,0,0,6,7,32.69,N,0,N,0,0,7,8,7,7,N,0,32.7,0,24.5,6,4,N,5,7,8,,,,623,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,9,1,0,0,10,0,,Y,5,94,2043,,Y,63,G,7,115.5
29,00000000MING002,1,6,0,00000,0,03,223,00000,'STANLEY CREEK',,'TOUR ROUTE','SEC 17 T27N R8E',30.48,0.322,0,0000000000,0,36590060,090125460,16,3,63,63,09,1997,2,0,20,2023,5,3.7,0,0,0,1,0,0,0,5,0,0,0,A,1,5,7,01,0,00,3,0,6.2,9.1,27.4,0,0,6.2,6.5,32.69,N,0,N,0,0,7,7,7,7,N,2,49.9,2,35.4,7,2,N,5,7,8,,,,623,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,1,,0,0,0,8,7,0,0,0,0,,Y,5,25,2043,,Y,63,G,7,178.1
29,00000000MING003,1,6,0,00000,0,03,223,00000,'LICK CREEK',,'AUTO TOUR ROUTE','SEC 4 T27N R8E',30.48,13.921,0,0000000000,0,37010900,090113600,16,3,63,63,09,2014,1,0,30,2023,A,3.7,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,01,0,00,1,0,4,14.9,15.2,0,0,4,4.7,32.69,N,0,N,0,0,8,7,8,8,N,1,36.3,1,21.8,6,5,N,5,8,8,,,,623,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,1,,0,0,0,9,1,0,0,0,0,,Y,5,40,2043,,Y,63,G,7,71.44
29,00000000MING004,1,6,0,00000,0,03,223,36967,'LATERAL DITCH',,'AUTO TOUR ROUTE','SEC 4 T27N R8E',30.48,14.307,0,0000000000,0,37011560,090112280,16,3,63,63,09,2014,1,0,30,2023,A,3.7,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,01,0,00,1,0,4,14.9,15.2,0,0,4,4.7,32.69,N,0,N,0,0,7,7,8,8,N,1,36.3,1,21.8,6,5,N,5,8,8,,,,623,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,1,,0,0,0,9,1,0,0,0,0,,Y,5,40,2043,,Y,63,G,7,71.44
29,00000000MINGO06,1,6,0,00000,0,03,207,20260,'DITCH 11',,'RED MILL DRIVE','SEC 13 T27N R8E',30.48,0.966,0,0000000000,0,36584080,090075700,8,3,63,63,09,1999,2,0,100,2021,0,4.9,0,30,0,1,0,0,0,5,0,0,0,A,1,5,7,01,0,00,3,0,6.2,12.2,28.3,0,0,6.2,6.8,32.69,N,0,N,0,0,7,8,7,7,N,2,65.3,2,47.2,7,5,N,5,7,4,,,,521,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,8,7,0,0,10,0,,Y,5,130,2041,,Y,63,G,7,192.44
29,0000000MINGO011,1,6,0,00000,0,03,207,20260,'DITCH 1',,'TOUR ROUTE','SEC 7 T27N R9E',30.48,0.161,0,0000000000,0,37001500,090064020,6,3,63,63,09,1994,2,0,100,2021,0,4.3,0,0,0,1,0,0,0,5,0,0,0,A,1,5,7,01,0,00,2,0,6.2,7.6,15.8,0.5,0.2,6.2,6.5,32.69,N,0,N,0,0,7,7,7,7,N,2,50.8,2,36.3,7,2,N,5,7,6,,,,521,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,1,,0,0,0,8,7,0,0,10,0,,Y,5,130,2041,,Y,63,G,7,102.7
29,0000000MINGO021,1,6,0,00000,0,03,207,20260,'DITCH 2',,'TOUR ROUTE','SEC 1 T27N R8E',30.48,0.322,0,0000000000,0,37002940,090075460,8,3,63,63,09,1994,1,0,100,2023,0,4.9,0,0,0,1,0,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,4.8,3,6.7,0,0,4.8,5.3,32.69,N,0,N,0,0,N,N,N,7,7,1,38.1,1,22.7,6,8,N,5,7,5,,,,623,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,1,,0,0,0,1,1,0,0,10,0,,Y,5,130,2043,,Y,63,G,7,35.51
29,0000000MINGO031,1,6,0,00000,0,03,207,20260,'DITCH 3',,'POOL 6 ROAD','SEC 13 T27N R9E',30.48,0.483,0,0000000000,0,36592400,090090000,16,3,63,63,09,1988,1,0,5,2021,0,3.7,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,3.7,3,6.7,0,0,3.7,4.1,32.69,N,0,N,0,0,N,N,N,7,7,1,51.7,1,30.8,7,4,N,5,7,7,,,,521,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,1,,0,0,0,1,1,0,8,0,0,,Y,5,7,2041,,Y,63,G,7,27.47
29,0000000MINGO081,1,6,0,00000,0,03,207,20260,'DITCH 11',,'FLATBANKS ROAD','SEC 29 T27N R8E',30.48,1.287,0,0000000000,0,36570300,090123420,5,3,63,63,09,1988,2,0,100,2021,0,5.5,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,04,0,00,3,0,5.3,6.4,19.5,0,0,5.3,6.1,32.69,N,0,N,0,0,7,7,7,7,N,1,36.3,1,21.8,6,3,N,5,7,4,,,,521,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,1,0,0,10,0,,Y,5,130,2041,,Y,63,G,7,118.95
29,0000000MINGOT02,1,6,0,00000,0,03,207,20260,'DITCH 11',,'SERVICE ROAD','SEC 27 T27N R8E',30.48,0.161,0,0000000000,0,36574680,090110960,159,3,63,63,09,1979,1,0,3,2023,0,4.9,0,0,0,1,0,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,3.7,3.7,7.9,0,0,3.7,4.1,32.69,N,0,N,0,0,N,N,N,7,7,1,33.6,1,20,5,4,N,5,7,4,,,,623,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,1,1,0,8,0,0,,Y,5,5,2043,,Y,63,G,7,32.39
