STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
28,        1MS0119,1,8,1,00000,0,00,075,00000,'DRAINAGE DITCH',,'ALLEN ROAD','0.1KM E. OF WHITAKER BLVD',99.99,0,0,,,32324598,088361707,2,3,73,73,09,1960,2,0,1000,2015,2,6.6,0,30,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,00,2,0,6.6,3.5,7.3,0,0,6.6,12.9,99.99,N,0,N,0,0,N,N,N,6,6,1,32.7,1,19.6,5,3,N,5,6,8,38,1,7.3,323,24,N  ,N  ,N  ,,,,6,1,7,2023,,,               ,0,N,2,,0,0,0,N,N,N,N,5,0,1,Y,5,2500,2037,,Y,73,F,6,94.17
28,        1MS0268,1,8,1,00000,0,00,075,00000,'WRIGHTS CREEK',,'ALLEN ROAD','1.3KM E. OF WHITAKER BLVD',99.99,0,0,,,32324564,088365462,7,3,73,73,09,1960,2,0,1000,2015,4,6.9,0,0,0,0,0,0,0,4,0,0,0,A,1,5,1,22,0,00,3,0,6.9,7.6,22.9,0.5,0.5,8.5,9.6,99.99,N,0,N,0,0,6,6,6,5,N,1,53.2,1,32,6,5,N,5,7,8,38,1,22.9,323,24,N  ,N  ,N  ,,,,100,31,131,2023,,,               ,0,N,2,,0,0,0,2,6,0,0,5,0,1,Y,5,2500,2037,,Y,73,F,6,219.84
28,        1MS0269,1,8,1,00000,0,00,075,00000,'SEGARS CREEK',,'FULLER ROAD','0.8KM WEST OF WHITAKER BL',99.99,0,0,,,32330564,088353081,3,3,73,73,09,1960,2,0,1000,2015,4,7,0,0,0,0,0,0,0,4,0,0,0,A,1,5,1,22,0,00,3,0,7,7.6,22.9,0.5,0.5,8.5,9.6,99.99,N,0,N,0,0,5,6,6,6,N,1,53.2,1,32,6,5,N,5,7,8,38,1,22.9,323,24,N  ,N  ,N  ,,,,55,28,83,2023,,,               ,0,N,2,,0,0,0,2,6,0,0,5,0,1,Y,5,2500,2037,,Y,73,F,5,219.84
28,00000000000S122,1,6,1,00282,0,05,101,20104,'CREEK',,'IRR BIA RTE 282','2.3KM S DECATUR & HUGH M.',99.99,5.6,0,0000000000,0,32262700,089150840,3,3,62,62,09,1983,2,0,200,2021,5,5.8,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,1,0,12.8,6.1,6.1,0.3,0.3,5.6,11.2,99.99,N,0,N,0,0,N,N,N,7,7,2,44.5,2,32.7,7,3,N,5,8,8,38,1,0,125,24,N  ,N  ,N  ,,,,0,0,24,2025,,0,               ,0,N,2,,0,1,0,N,N,N,N,3,0,,Y,8,234,2043,0,Y,62,G,7,68.32
28,00000000000S123,1,6,1,00022,0,05,099,55930,'JONES CREEK',,'IRR BIA RTE 22','3.2KM N INT SR16 & BIA22',99.99,3.5,0,0000000000,0,32484120,089161900,16,3,62,62,08,1984,2,0,630,2025,5,6,0,0,0,0,0,0,1,5,0,0,0,A,1,5,2,01,0,00,3,0,8.5,13.4,19,0,0,8.5,9.2,99.99,N,0,N,0,0,6,7,7,6,N,2,44.5,2,32.7,7,5,N,5,5,8,,,0,125,24,N  ,N  ,N  ,,,,0,0,0,2025,,0,               ,0,N,2,,0,1,0,1,1,0,0,2,0,,Y,8,759,1045,0,Y,62,F,6,174.8
28,00000000000S124,1,6,1,00022,0,05,099,55930,'FIRE STEEL CREEK',,'IRR BIA RTE 22','2.4KM N INT SR16 & BIA22',99.99,2.7,0,0000000000,0,32481580,089163410,16,3,62,62,08,1984,2,0,630,2021,5,6.1,0,0,0,1,N,1,1,5,0,0,0,A,1,5,1,19,0,00,2,0,8.5,4.2,8.7,0,0,8.5,14.7,99.99,N,0,N,0,0,N,N,N,5,7,2,44.5,2,32.7,7,5,N,5,7,8,,,0,223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,N,N,N,N,2,0,,Y,8,750,2043,0,Y,62,G,7,127.89
28,00000000000S125,1,6,1,00026,0,05,079,11780,'REDWATER CREEK',,'IRR BIA RTE 26','0.3KM W INT SR35 & REDWTR',99.99,0.6,0,0000000000,0,32455860,089323670,3,3,62,62,09,1985,2,0,300,2021,5,6.6,0,15,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,9.6,5,10.3,0.3,0.3,6.6,12.2,99.99,N,0,N,0,0,N,N,N,7,6,2,44.5,2,32.7,6,4,N,5,7,8,,,0,223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,N,N,N,N,2,0,,Y,8,350,2043,0,Y,62,F,6,125.66
28,00000000000S132,1,6,1,00233,0,05,069,07330,'BOGUE CHITTO CREEK',,'IRR BIA RTE 233','2.8KM W INT SR495 &BIA233',99.99,1.8,0,0000000000,0,32495630,088534990,27,3,62,62,08,1994,2,0,108,2023,5,9.1,0,0,0,1,1,1,0,5,0,0,0,A,1,5,5,02,0,00,2,0,8.4,9.5,18.9,0.4,0.4,8.6,9.4,99.99,N,0,N,0,0,6,8,7,8,N,2,44.5,2,32.6,7,6,N,5,8,8,,,0,223,24,N  ,Y60,N  ,,0122,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,1,1,0,8,5,0,,Y,8,125,2043,0,Y,62,F,6,177.66
28,00000000000S133,1,6,1,00233,0,05,069,07330,'BOGUE CHITTO CREEK',,'IRR BIA RTE 233','2.4KM W INT SR495 &BIA233',99.99,2.1,0,0000000000,0,32495634,088533510,27,3,62,62,08,1994,2,0,108,2023,5,9.1,0,0,0,1,1,1,0,5,0,0,0,A,1,5,5,02,0,00,3,0,8.4,12.2,36.6,0.4,0.4,8.4,9.4,99.99,N,0,N,0,0,7,8,7,8,N,2,44.5,2,32.7,7,5,N,5,8,8,,,0,223,24,N  ,Y60,N  ,,0122,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,1,1,0,8,5,0,,Y,8,125,2043,0,Y,62,G,7,344.04
28,00000000000S134,1,6,1,00233,0,05,069,07330,'BOGUE CHITTO CREEK',,'IRR BIA RTE 233','2.0KM W INT SR495 &BIA233',99.99,2.6,0,0000000000,0,32495390,088531820,27,3,62,62,08,1994,2,0,108,2021,5,9.4,0,0,0,1,1,1,0,5,0,0,0,A,1,5,5,02,0,00,2,0,8.4,9.4,18.8,0.4,0.4,8.4,9.4,99.99,N,0,N,0,0,6,7,7,8,N,2,44.5,2,32.7,7,5,N,5,7,8,,,0,223,24,N  ,Y60,N  ,,0122,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,1,1,0,0,5,0,,Y,8,125,2041,0,Y,62,F,6,176.72
28,00000000000S135,1,6,1,00024,0,05,099,74675,'UNNAMED CREEK',,'IRR BIA RTE 24','0.9KM W JCT SR19 &LOOP RD',99.99,6.1,0,0000000000,0,32420880,089033590,5,3,62,62,08,1994,2,0,308,2021,5,7.5,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,9.8,3,7.2,0,0,7.5,13.1,99.99,N,0,N,0,0,N,N,N,6,5,2,44.5,2,32.7,5,5,N,5,6,8,,,0,223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,N,N,N,N,2,0,,Y,8,372,2041,0,Y,62,F,5,94.32
28,00000000000S136,1,6,1,00026,0,05,079,11780,'CARTHAGE CREEK',,'IRR BIA RTE 26','.36KM W INT SR35 & REDWTR',99.99,0.8,0,0000000000,0,32455860,089323980,3,3,62,62,09,1994,2,0,300,2021,5,7.3,0,30,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,9.1,5.6,11.6,0.3,0.3,7.2,14.4,99.99,N,0,N,0,0,N,N,N,6,7,2,44.5,2,32.7,7,4,N,5,7,8,,,0,223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,N,N,N,N,2,0,,Y,8,360,2043,0,Y,62,G,7,167.04
28,00000000000S137,1,6,1,00233,0,05,069,07330,'BOGUE CHITTO CREEK',,'IRR BIA RTE 233','3.0KM W INT SR495 &BIA233',99.99,1.4,0,0000000000,0,32495580,088535940,27,3,62,62,08,1995,2,0,108,2021,5,7.3,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,02,0,00,3,0,8.4,18,42.7,0.4,0.4,8.6,9.5,99.99,N,0,N,0,0,6,7,7,6,N,2,44.5,2,32.7,7,6,N,5,8,8,,,0,223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,1,1,0,8,5,0,,Y,8,125,2041,0,Y,62,F,6,405.65
28,00000000000S138,1,6,1,00221,0,05,099,55930,'UNNAMED CREEK',,'IRR BIA RTE 221','0.7KM S INT SR16 & BIA221',99.99,2.4,0,0000000000,0,32460640,089122990,3,3,62,62,07,1997,2,0,1525,2023,5,6.7,0,0,0,0,0,0,1,5,0,0,0,A,1,5,1,19,0,00,2,0,8.8,3.1,6.6,0.3,0.3,8.6,10.4,99.99,N,0,N,0,0,N,N,N,7,7,2,44.5,2,32.7,7,5,N,5,8,8,,,0,223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,N,N,N,N,5,0,,Y,8,1890,2043,0,Y,62,G,7,68.64
28,00000000000S139,1,6,1,00223,0,05,099,55930,'UNNAMED CREEK',,'IRR BIA RTE 223','1.6KM N OF NEW LOOP RD.',99.99,1,0,0000000000,0,32473450,089122960,6,3,62,62,09,1996,2,0,1020,2023,5,6.7,0,0,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,00,2,0,10.4,3.1,6.6,0.3,0.3,7.3,13.4,99.99,N,0,N,0,0,N,N,N,8,7,2,44.5,2,32.7,7,4,N,5,7,8,,,0,223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,N,N,N,N,2,0,,Y,8,1225,2043,0,Y,62,G,7,88.44
28,00000000000S140,1,6,1,02635,0,05,079,11780,'UNNAMED CREEK',,'IRR BIA RTE 2635','0.5KM SE INT. SR36 & SR25',99.99,1.4,0,0000000000,0,32460480,089321050,2,3,62,62,09,1992,2,0,100,2023,5,7.3,0,0,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,00,2,0,9.8,3.1,6.3,0,0,7.3,14.6,99.99,N,0,N,0,0,N,N,N,8,7,2,44.2,2,32.4,7,6,N,5,8,8,,,0,223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,N,N,N,N,10,0,,Y,8,120,2043,0,Y,62,G,7,91.98
28,00000000000S141,1,6,1,00223,0,05,099,55930,'UNNAMED CREEK',,'IRR BIA RTE 223','4.0KM N INT NEW LOOP&SR16',99.99,2.1,0,0000000000,0,32480630,089123780,6,3,62,62,09,1997,2,0,410,2023,5,6.9,0,0,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,00,2,0,10.4,3,6.3,0.3,0.3,6.9,13.8,99.99,N,0,N,0,0,N,N,N,6,7,2,44.2,2,32.4,7,4,N,5,7,8,,,0,223,24,N  ,N  ,N  ,,,,0,0,0,2023,,0,               ,0,N,2,,0,1,0,N,N,N,N,2,0,,Y,8,490,2043,0,Y,62,G,7,86.94
