STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
37,        2NC0328,1,8,0,00000,0,00,133,00000,'SCALES CREEK',,'FLORENCE ROAD','1.2MI SW OF WILSON BLVD',99.99,0,0,,,34435370,077240780,8,3,73,73,09,2018,2,0,1000,2018,A,10,0,0,0,1,1,0,1,5,0,2.6,12,A,1,5,5,01,0,00,5,0,10,12,64.6,0,0,10,11,99.99,N,0,N,0,0,7,7,7,7,N,8,69.3,8,53.5,7,6,N,5,8,6,35,1,64.6,1024,24,N  ,N  ,N  ,,,,18,23,40,2024,,,               ,0,N,2,,0,0,0,2,6,0,0,5,0,,Y,5,2000,2044,,Y,73,G,7,710.6
37,        2NC0750,1,8,0,00000,0,00,133,00000,'WALLACE CREEK',,'SETH WILLIAMS BLVD','2 KM N OF HOLCOMB BLVD',99.99,0,0,,,34405496,077213162,16,3,73,73,09,1942,2,0,2000,2014,4,6.7,0,0,0,0,0,0,1,5,0,0,0,P,5,5,7,00,0,00,38,0,7.8,6.1,231.8,1.6,1.6,7.9,14.1,99.99,N,0,N,0,0,6,6,5,7,N,7,52.8,7,34,5,4,N,0,7,8,38,1,231.8,1024,24,N  ,Y60,N  ,,1222,,281,5,366,2024,,,               ,0,N,2,,0,0,1995,1,5,0,0,10,0,,Y,5,2500,2046,,Y,73,F,5,3268.38
37,        2NC162A,1,8,0,00000,0,00,133,00000,'WALLACE CREEK',,'STONE BAY CONNECT','0.6KM NE OF RIFLE RANGE',99.99,0,0,,,34345840,077272260,2,3,73,73,09,2013,4,0,200,2014,A,16.3,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,02,0,00,3,0,15.9,21.3,45.7,0,0,15.9,16.6,99.99,N,0,N,0,0,7,8,7,7,N,8,55.1,8,51.2,7,4,N,5,8,8,35,1,45.7,1024,24,N  ,N  ,N  ,,,,12,43,55,2024,,,               ,0,N,2,,0,0,0,2,1,0,0,10,0,,Y,5,250,2044,,Y,73,G,7,758.62
37,        2NC2008,1,8,0,00000,0,00,133,00000,'STONE STREET',,'WILSON BLVD','2 KM NW OF HOLCOMB BLVD',99.99,0,0,,,34414601,077211688,7,3,73,73,09,2016,2,2,10000,2014,A,11,0,0,0,1,1,1,1,5,N,0,0,A,1,1,5,05,0,00,1,0,11.9,29.3,30.1,0,0,11,11.9,99.99,N,4.8,N,6.1,6.1,7,7,7,N,N,8,47.6,8,36.6,7,6,N,5,N,8,35,1,30,1024,24,N  ,N  ,N  ,,,,9,1,9,2024,,,               ,0,L,1,,0,0,,2,1,0,0,0,0,,Y,N,550,2044,,Y,73,G,7,358.19
37,        2NC2022,1,8,0,00000,0,00,133,00000,'NORTHEAST CREEK',,'WILSON BOULEVARD','2.4 KM W OF LEJEUNE BLVD',99.99,0,0,,,34432762,077223202,11,3,73,73,09,2014,4,0,200,2014,0,26.3,3,0,0,1,1,1,1,5,0,0,0,A,1,5,5,02,0,00,16,0,10.9,38.9,621,2.4,0,21.9,26.3,99.99,N,0,N,0,0,6,7,7,7,N,3,44.9,3,34.6,7,9,N,5,7,8,35,1,621,1024,24,N  ,Y60,N  ,,1222,,6,51,57,2024,,,               ,0,N,2,,0,0,0,1,9,0,0,10,0,,Y,5,250,2044,,Y,73,F,6,16332.3
37,        2NC2023,1,8,0,00000,0,00,133,00000,'BREWSTER BLVD.',,'WILSON BLVD. (SB)','2.8 KM W OF HOLCOMB BLVD.',5.12,0,0,,,34425389,077222327,17,3,73,73,08,2014,3,5,0,2014,A,14.3,0,0,0,1,1,0,1,5,0,0,0,A,1,1,5,02,0,00,1,0,31.9,35.5,35.5,0,0,14,15,99.99,N,4.98,N,12.5,9.1,7,8,7,N,N,8,47.3,8,36.6,7,5,N,5,N,8,35,1,30,1024,24,N  ,N  ,N  ,,,,3,2,5,2024,,,               ,0,L,1,,0,0,0,2,0,0,0,10,0,,Y,N,200,2044,,Y,73,G,7,532.5
37,        2NC350A,1,8,0,00000,0,00,133,00000,'WALLACE CREEK',,'WILSON BLVD','1.9 KM NW OF HOLCOMB BLVD',99.99,0,0,,,34412537,077205021,8,3,73,73,09,2016,2,0,10000,2016,A,11,1,0,0,1,1,1,1,5,0,0,0,A,1,5,5,01,0,00,19,0,11,15.2,288.8,0,2.4,11,14.6,99.99,N,0,N,0,0,7,6,7,7,N,8,70.6,8,54.4,6,6,N,5,9,8,35,1,288.8,1024,24,N  ,Y60,N  ,,1222,,26,15,41,2024,,,               ,0,R,1,,0,0,0,2,2,0,0,0,0,,Y,5,0,2044,,Y,73,F,6,4216.48
37,        2NC351A,1,8,0,00000,0,00,133,00000,'WALLACE CREEK RD',,'WILSON BLVD','1.2 KM NW OF HOLCOMB BLVD',99.99,0,0,,,34411294,077202842,3,3,73,73,09,2016,2,5,0,2016,A,11,0,0,0,1,1,1,1,5,N,0,0,A,1,1,5,05,0,00,1,0,11,30.8,31.8,0,0,11,11.9,99.99,N,5.3,N,5.4,2.4,7,8,7,N,N,8,78.4,8,40.2,7,6,N,5,N,8,35,1,30,1024,24,N  ,N  ,N  ,,,,1,3,3,2024,,,               ,0,R,1,,0,0,,2,1,0,0,0,0,,Y,N,550,2044,,Y,73,G,7,378.42
37,        2NC352A,1,8,0,00000,0,00,133,00000,'BEARHEAD CREEK',,'WILSON BLVD','0.6 KM NW OF HOLCOMB BLVD',99.99,0,0,,,34410259,077201028,3,3,73,73,09,2016,3,0,0,2016,A,14.6,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,01,0,00,11,0,14.6,15.6,184,0,2.4,14.6,18.3,99.99,N,0,N,0,0,7,7,7,8,N,8,59.6,8,46,7,5,N,5,N,8,35,1,184,1024,24,N  ,N  ,N  ,,,,5,1,6,2024,,,               ,0,R,1,,0,0,0,2,2,0,0,0,0,,Y,5,550,2044,,Y,73,G,7,3367.2
37,        2NC353A,1,8,0,00000,0,00,133,00000,'HOLCOMB BLVD AND IN. RR',,'WILSON BLVD','3 KM SE OF STONE STREET',99.99,0,0,,,34405010,077194872,3,3,73,73,09,2016,3,2,0,2016,A,11,0,40,0,1,1,1,1,5,N,0,0,A,1,4,5,05,0,00,6,0,1.1,33.5,180.5,0,0,11,12,99.99,H,6.2,H,9,8.2,7,7,7,N,N,8,61.6,8,47.6,7,2,9,5,N,8,35,1,180.5,1024,24,N  ,N  ,N  ,,,,6,3,10,2024,,,               ,0,R,1,,0,0,0,2,0,0,0,0,0,,Y,N,0,2044,,Y,73,G,7,2166
