STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
36,000000001000040,1,2,1,00001,0,87,119,44831,'MAMARONECK RIVER',,'RTE 1','JCT US 1 & MAMARONECK RVR',99.99,10.024,0,,,40565603,073435743,6,3,01,01,14,1895,5,0,15757,2019,A,16.2,2,35,0,1,N,0,0,2,0,0,0,A,5,5,8,11,0,00,1,0,16.2,15.2,21.3,3,1.6,16.2,21.8,99.99,N,0,N,0,0,N,6,6,5,N,0,41.6,0,17.3,4,2,N,5,6,4,34,1,21.3,1024,24,N  ,N  ,N  ,,,,4346,2545,6891,2024,,,               ,0,N,2,,1,0,2024,N,0,0,N,1,0,,Y,5,15831,2041,,N,36,F,6,464.34
36,000000001000090,1,2,1,00001,0,87,119,64309,'287I287I87011104  RTE I2',,'RTE 1','JCT US 1 & I287',99.99,17.12,1,0000000001,,40593015,073403814,3,3,01,01,14,1959,4,6,23703,2020,9,14.6,0,37,0,1,0,1,1,5,N,0,0,A,5,1,3,02,0,00,4,0,14.6,22.5,83.2,1.5,1.5,14.6,18.3,99.99,H,4.42,H,2.6,2.3,6,5,4,N,N,1,76.2,1,45.4,4,2,3,5,N,8,34,1,83.2,1224,24,N  ,N  ,N  ,,,,7070,4140,11211,2024,,,               ,0,N,2,,1,0,1993,1,6,9,0,4,0,,Y,N,23814,2041,,N,36,P,4,1522.56
36,000000001000121,1,2,1,00001,0,87,119,59223,'BYRAM RIVER',,'RTE 1','JCT RTE 1+N Y+CONN ST LN',99.99,20.209,1,0000000001,,41004546,073392086,1,3,01,01,14,1926,2,0,14570,2009,4,13.1,0,0,0,0,0,0,0,2,0,0,0,A,5,5,1,04,0,00,2,0,13.7,10.9,24.4,2.5,2.5,13.7,19.8,99.99,N,0,N,0,0,6,4,5,5,N,1,54.4,1,32.7,4,9,N,5,8,4,34,1,24.3,524,12,N  ,N  ,N  ,,,,1993,1167,3160,2024,,,               ,0,L,1,,1,0,0,1,6,9,0,4,0,,Y,3,14638,2041,,N,36,P,4,483.12
36,000000001000122,1,2,1,00001,0,87,119,59223,'BYRAM RIVER',,'RTE 1','JCT RTE 1+N Y+CONN ST LN',99.99,20.209,1,0000000001,,41004369,073391938,1,3,01,01,14,1888,2,0,14570,2009,5,9.1,0,0,0,0,N,0,0,2,0,0,0,A,5,5,8,11,0,00,2,0,9.2,10,27.4,1.8,2,9.2,14.6,99.99,N,0,N,0,0,N,5,6,7,N,0,76.8,0,19.6,4,4,N,5,5,4,37,1,27.4,424,24,N  ,N  ,N  ,,,,3801,2226,6026,2024,091,0,000000000007024,0,R,1,,1,0,0,N,0,0,N,4,0,,Y,5,14638,2041,,N,36,F,5,400.04
36,000000001000140,1,3,1,00032,0,11,001,46536,'DELAWARE & HUDSON RR',,'RTE 32','.9 MI S JCT SH 32 & SH378',99.99,44.183,1,0000000032,,42411600,073434029,4,3,01,01,16,2002,2,0,8190,2020,9,12.8,0,67,0,1,0,1,1,5,N,0,0,A,5,2,1,07,0,00,1,0,12.6,37.5,39,1.5,1.5,12.6,36,99.99,R,7.32,R,2.7,0,N,7,6,N,N,1,70.8,1,42.6,6,5,4,5,N,8,34,1,39,824,24,N  ,N  ,N  ,,,,10425,6105,16530,2024,,,               ,0,N,2,,0,0,0,N,0,0,N,12,0,,Y,N,9949,2041,,N,36,F,6,1404
36,000000001000160,1,5,1,00378,0,14,083,75484,'WYNANTS KILL',,'RTE 378','BURDEN AVE RT378 S.TROY',99.99,0.692,1,0000000378,,42421525,073414727,3,3,01,01,12,1932,4,0,29265,2010,0,28.7,0,0,1,1,0,0,0,5,0,0,0,A,5,5,1,04,0,00,1,0,29.8,12.1,12.8,2.4,2.4,29.9,35.7,99.99,N,0,N,0,0,6,6,6,7,N,1,73.5,1,43.5,6,9,N,5,4,6,34,1,12.8,823,24,N  ,N  ,N  ,,,,3878,2271,6149,2024,,,               ,0,N,2,,1,0,0,1,6,2,0,5,0,,Y,8,33912,2041,,N,36,F,6,456.96
36,000000001000190,1,2,1,00002,0,14,083,10275,'POESTEN KILL',,'RTE 2','2.5 MI E JCT RTS 66 & 2',99.99,6.066,1,0000000002,,42435822,073375330,4,3,01,01,14,2021,2,0,3962,2020,A,9.8,0,30,0,1,1,1,1,5,0,0,0,A,1,5,3,02,0,00,1,0,9.8,36.6,38.7,0,0,9.8,11,99.99,N,0,N,0,0,9,9,9,8,N,1,99.9,1,67.1,9,4,N,5,8,8,34,1,38.7,1223,24,N  ,N  ,N  ,,,,1407,824,2231,2024,,,               ,0,N,2,,1,0,0,1,2,0,0,9,0,,Y,8,3980,2041,,N,36,G,9,425.7
36,000000001000200,1,2,1,00002,0,14,083,10275,'POESTEN KILL',,'RTE 2','RTE 2 AT EAGLE MILLS',99.99,8.479,1,0000000002,,42434437,073361095,14,3,01,01,14,2006,2,0,4894,2020,5,9.1,0,0,0,0,0,1,1,5,0,0,0,A,5,5,1,11,0,00,1,0,9,18.3,18.9,1.7,1.7,9,13.6,99.99,N,0,N,0,0,N,7,7,7,N,1,99.9,1,99.9,7,4,N,5,6,7,34,1,18.8,524,24,N  ,N  ,N  ,,,,1384,810,2194,2024,,,               ,0,N,2,,1,0,0,N,0,0,N,9,0,,Y,8,4917,2041,,N,36,G,7,257.04
36,000000001000210,1,2,1,00002,0,14,083,10275,'QUACKENKILL CREEK',,'RTE 2','0.5 MI E JCT RTS 2 & 351',99.99,13.805,1,0000000002,,42445246,073331555,19,3,01,01,06,1998,2,0,5523,2020,9,9.4,0,30,0,1,0,1,1,5,0,0,0,A,1,5,5,05,0,00,1,0,9.4,13.4,14.3,0,0,9.4,10.1,99.99,N,0,N,0,0,6,7,6,5,N,1,89.8,1,56.2,6,3,N,5,5,8,37,1,14.3,724,24,N  ,N  ,N  ,,,,757,444,1201,2024,,,               ,0,N,2,,0,0,0,1,1,0,0,17,0,,Y,8,5890,2041,,N,36,F,6,144.43
36,000000001000220,1,2,1,00002,0,14,083,10275,'QUACKENKILL CREEK',,'RTE 2','1.3 MI E JCT RTS 2 & 351',99.99,15.044,1,0000000002,,42445741,073322598,19,3,01,01,06,1998,2,0,5523,2020,9,9.4,0,15,0,1,0,1,1,5,0,0,0,A,1,5,3,02,0,00,1,0,9.2,17,17.7,0,0,9.3,9.9,99.99,N,0,N,0,0,6,6,6,6,N,1,89.8,1,62.6,6,3,N,5,6,8,34,1,17.6,824,24,N  ,N  ,N  ,,,,574,336,909,2024,,,               ,0,N,2,,0,0,0,1,1,0,0,17,0,,Y,5,5890,2041,,N,36,F,6,175.23
