STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
40,000000000009023,1,5,1,00000,0,04,125,00000,'SQUIRREL CREEK #2',,'HERITAGE ROAD','Heritage Rd east of EW118',99.99,0,0,,,35180040,096555324,2,3,61,61,09,2013,2,0,50,2019,0,8.5,0,0,0,1,0,0,1,5,N,0,0,A,1,5,3,10,0,00,1,0,8.5,18.2,19.5,0,0,8.5,8.8,99.99,N,0,N,0,0,7,6,6,6,N,3,29.9,3,17.2,5,7,N,5,5,8,,,,223,24,Y24,N  ,N  ,0223,,,40,4,60,2019,,,               ,0,N,2,,0,1,0,1,0,0,0,0,0,1,Y,5,60,2039,0,Y,61,F,6,171.6
40,000010000000000,1,4,1,N2860,0,04,073,00000,'CREEK',,'N2860','1.5E 2N OF US81/SH33',99.99,3.458,0,,,35531714,097542047,5,3,02,02,07,1932,2,0,150,2022,0,6.4,0,37,0,0,0,0,0,5,0,0,0,P,1,5,3,02,0,00,1,0,7.1,9.1,9.4,0,0,7.1,7.3,99.99,N,0,N,0,0,5,6,6,6,N,1,36.3,1,21.8,6,4,N,1,7,8,31,1,33.4,624,24,N  ,N  ,N  ,,,,171,94,270,,,0,_              ,0,N,2,,0,0,1975,1,1,0,0,15,0,1,Y,7,240,2042,0,N,40,F,5,68.62
40,000020000000000,1,5,1,N4075,0,02,121,01490,'DRAINAGE CANAL',,'N4075 (7 ST.)','200 FT S OF DELAWARE AVE.',99.99,0.192,0,,,34553051,095454463,2,3,04,04,19,1946,2,0,300,2022,2,9.1,0,0,0,0,0,0,0,4,0,0,0,P,5,5,1,07,0,00,1,0,9.1,8.5,9.4,1.5,1.5,9.1,13.1,99.99,N,0,N,0,0,6,5,6,8,N,0,32.7,0,19.5,5,6,N,5,8,8,31,1,33.4,823,24,N  ,N  ,N  ,,,,171,94,270,,,0,_              ,0,N,2,,0,0,0,1,6,0,0,5,0,,Y,8,480,2042,0,N,40,F,5,123.14
40,000021640-00005,1,6,0,00000,0,02,135,00000,'HORTON SLOUGH',,'AUTO TOUR ROAD','GRAVEL RD-1/8 MI S OF HQ',30.48,1.448,0,0000000000,0,35264920,094582400,159,3,63,63,09,1940,2,0,50,2024,0,4.9,0,0,0,1,1,1,1,5,0,0,0,A,5,5,1,04,0,00,1,0,5.3,10.7,11.3,4,1.2,5.3,8.9,32.69,N,0,N,0,0,5,6,6,6,N,0,36.3,0,32.7,6,3,N,5,6,6,,,,624,24,N  ,Y60,N  ,,0624,,,,,,,,               ,0,N,2,,0,0,0,1,6,0,0,0,0,,Y,5,60,2044,,Y,63,F,5,100.57
40,000021640-00029,1,6,0,00000,0,02,135,00000,'UNNAMED FIELD DRAINAGE',,'ENTRANCE ROAD','GRAVEL RD-1/4 MI N OF HQ',30.48,2.253,0,0000000000,0,35270420,094582400,159,3,63,63,09,1940,2,0,50,2022,0,5.5,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,19,0,00,2,0,6.3,3.7,6.7,1.3,0.4,6.3,7.1,32.69,N,0,N,0,0,N,N,N,7,7,0,36.3,0,32.7,7,5,N,5,7,7,,,,422,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,1,0,0,0,0,,Y,5,60,2042,,Y,63,G,7,47.57
40,000021650-00082,1,6,0,00000,0,02,069,00000,'SPRING CREEK',,'OLD ST. HWY. 22','GRAVEL ROAD TO WEST GATE',30.48,2.253,0,0000000000,0,34113900,096384740,10,3,63,63,09,1980,2,0,30,2022,0,5.8,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,3,0,5.8,3.4,9.8,0,0,5.8,12.5,32.69,N,0,N,0,0,N,N,N,7,7,0,36.3,0,32.7,7,4,N,5,7,8,,,,422,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,N,N,N,N,0,0,,Y,5,50,2042,,Y,63,G,7,122.5
40,000021650-00083,1,6,0,00000,0,02,069,00000,'BIG SANDY CREEK',,'OLD ST. HWY. 22','ROAD TO SANDY CREEK',30.48,3.219,0,0000000000,0,34113960,096381020,10,3,63,63,09,1920,2,0,35,2024,0,4.9,0,0,0,1,0,0,1,5,0,0,0,P,1,5,2,04,0,00,2,0,6.7,11.3,23.8,0.5,0.2,6.7,7.5,32.69,N,0,N,0,0,4,4,7,5,N,0,17.2,0,13.6,4,5,N,1,6,8,,,,624,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,6,0,0,0,0,,Y,5,50,2044,,Y,63,P,4,178.5
40,000021670-00001,1,6,0,00000,0,02,031,00000,'HEADQUARTERS CREEK',,'INDIAHOMA ROAD','HQ LOOP ROAD| NORTH OF HQ',30.48,11.587,0,0000000000,0,34440900,098424680,16,3,63,63,09,1993,2,0,1250,2022,0,8.5,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,3,0,9.7,5.2,13.7,0,0,9.7,10.7,32.69,N,0,N,0,0,N,N,N,6,6,1,31.8,1,19.1,5,5,N,5,7,8,,,,422,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,6,0,0,1,0,,Y,5,1250,2042,,Y,63,F,6,146.59
40,000021670-00003,1,6,0,00000,0,02,031,00000,'WEST CACHE CREEK',,'STATE HWY 49','HWY 49 WEST OF CORRALS',30.48,8.047,0,0000000000,0,34441080,098424260,24,3,63,63,09,1935,2,0,1250,2024,0,7.3,0,14,0,1,0,1,1,5,0,0,0,A,1,5,1,01,0,00,3,0,9.1,3.4,11.6,0,0,9.1,10.1,32.69,N,0,N,0,0,7,7,7,6,N,0,36.3,0,28.1,7,5,N,5,7,7,,,,624,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,1992,1,6,0,0,1,0,,Y,5,1250,2044,,Y,63,G,7,117.16
40,000021670-00009,1,3,1,00049,0,02,031,00000,'TURKEY CREEK',,'STATE HWY 49','HWY 49 AT TURKEY CREEK',30.48,10.461,0,0000000000,0,34435220,098412760,24,3,63,63,09,1992,2,0,1250,2024,0,7.3,0,0,0,N,N,N,N,5,0,0,0,A,1,5,3,19,0,00,3,0,15.7,1.8,6.7,0,0,15.7,20.3,32.69,N,0,N,0,0,N,N,N,6,4,0,32.7,0,24.5,4,9,N,5,6,8,31,2,6.1,624,24,N  ,N  ,N  ,,,,100,21,121,2018,,,               ,0,N,2,,0,0,0,N,N,N,N,1,0,,Y,5,1250,2044,,Y,63,P,4,136.01
40,000021670-00015,1,6,0,00000,0,02,031,00000,'PANTHER CREEK',,'STATE HWY 49','HWY 49 AT PANTHER CREEK',30.48,12.392,0,0000000000,0,34432820,098402640,24,3,63,63,09,1992,2,0,1250,2024,5,7.3,0,0,0,1,0,1,1,5,0,0,0,A,1,5,1,01,0,00,4,0,9.1,7.6,30.5,0,0,9.1,10.1,32.69,N,0,N,0,0,7,7,6,5,N,1,79.8,1,47.2,6,5,N,5,7,7,,,,624,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0,1,1,0,0,1,0,,Y,5,1250,2044,,Y,63,F,6,308.05
