STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
47,        1TN0311,1,8,0,00000,0,00,157,49060,'DRAINAGE CANAL',,'ATTU STREET','1 KM E OF SINGLETON AVE.',0,0,0,,,35202881,089511871,2,3,73,73,09,1942,2,0,1000,2015,0,5.6,0,0,0,0,0,0,0,4,N,0,0,A,1,5,7,02,0,00,3,0,7,2.7,8.9,2,2,7,7.7,99.99,N,0,N,0,0,5,5,7,7,N,2,33.6,2,24.8,5,4,N,5,7,7,38,1,8.9,423,24,N  ,N  ,N  ,,,,2,39,41,2023,,,               ,0,N,2,,0,0,0,8,6,0,0,10,0,1,Y,5,1100,2037,,Y,73,F,5,68.53
47,        1TN0312,1,8,0,00000,0,00,157,49060,'DRAINAGE CANAL',,'HUTCHINS ROAD','0.1 KM E OF SINGLETON AVE',0,0,0,,,35200877,089520402,1,3,73,73,09,1947,2,0,200,2015,0,9.1,0,0,0,0,0,0,0,4,N,0,0,A,1,5,1,04,0,00,1,0,9.9,6.1,6.7,0,0,9.9,10.4,99.99,N,0,N,0,0,7,7,7,7,N,0,44.4,0,26.5,6,7,N,5,6,8,38,1,6.7,423,24,N  ,N  ,N  ,,,,0,39,39,2023,,,               ,0,N,2,,0,0,0,1,6,0,0,10,0,,Y,5,250,2037,,Y,73,G,7,69.68
47,        1TN0313,1,8,0,00000,0,00,157,49060,'DRAINAGE CANAL',,'SAVITZ DRIVE','0.1 KM E OF SINGLETON AVE',0,0,0,,,35195370,089520600,1,3,73,73,09,1947,2,0,200,2015,0,10.4,0,0,0,0,0,0,0,4,0,0,0,A,1,5,1,04,0,00,1,0,9.7,6.1,6.6,0,0,9.9,10.4,99.99,N,0,N,0,0,6,6,7,7,N,0,44.4,0,26.5,6,7,N,5,6,8,38,1,6.6,423,24,N  ,N  ,N  ,,,,0,40,40,2023,,,               ,0,N,2,,0,0,0,1,6,0,0,10,0,,Y,5,250,2037,,Y,73,F,6,68.64
47,        1TN0314,1,8,0,00000,0,00,157,49060,'DRAINAGE CANAL',,'SINGLETON AVE','0.1 KM E OF SINGLETON AVE',0,0,0,,,35194880,089520570,1,3,73,73,09,1947,2,0,200,2015,0,6.7,0,0,0,0,0,0,0,4,N,0,0,A,1,5,1,04,0,00,1,0,9.9,6.1,6.6,0,0,7.9,10.4,99.99,N,0,N,0,0,6,6,6,8,N,0,44.4,0,26.5,6,5,N,5,6,8,38,1,6.6,423,24,N  ,N  ,N  ,,,,0,43,43,2023,,,               ,0,N,2,,0,0,0,1,6,0,0,10,0,,Y,5,250,2037,,Y,73,F,6,68.64
47,    01023750001,1,5,1,02375,0,01,001,55800,'INDIAN CREEK',,'NFA 2375 (SA 0105)','N OF SR61 IN OLIVER SPRIN',99.99,0.451,0,0000000000,,36030552,084202053,11,3,04,04,17,1982,2,0,723,2021,0,7.6,0,0,0,1,N,N,N,5,0,0,0,P,1,5,5,02,0,00,2,0,8,11.4,24.2,0,0,8.1,9.2,99.99,N,0,N,0,0,6,7,7,6,N,8,24,8,18.5,5,5,N,5,6,6,,,,723,24,N00,N00,N00,,,,,,,,,,               ,0,N,2,,0,0,0,1,1,0,0,1,0,,Y,8,760,2041,,N,47,F,6,222.64
47,    01024010001,1,4,1,02401,0,01,001,00000,'BULL RUN CREEK',,'NFA 2401','E OF ATOMIC ENERGY COMMIS',99.99,2.623,0,0000000000,,36004103,084080535,10,3,02,02,17,1952,2,0,964,2021,4,6.1,0,0,0,0,0,0,0,4,0,0,0,A,1,5,1,04,0,00,5,0,5.4,14.4,71.7,0,0,5.4,7.4,99.99,N,0,N,0,0,6,6,6,5,N,0,36,0,24.3,6,N,N,5,6,6,33,1,71.7,723,24,N00,Y60,N00,,0724,,425,43,638,2022,,,               ,0,N,3,,0,0,0,1,6,0,0,1,0,,Y,4,1542,2042,,N,47,F,6,530.58
47,    01024440001,1,5,1,02444,0,01,001,00000,'POPLAR CREEK',,'NFA 2444 (SA 0102)','NE OF SR61-AT OLIVER SPRG',99.99,1.69,0,0000000000,,36015635,084181602,8,3,02,02,17,1978,2,0,659,2021,5,8.5,0,15,0,0,N,0,0,4,0,0,0,A,1,5,2,19,0,00,3,0,5.6,3.8,12.2,0,0,8.5,9.5,99.99,N,0,N,0,0,N,N,N,5,5,1,48.6,1,28.8,5,5,N,5,4,6,38,,,723,24,N00,N00,N00,,,,,,,,,,               ,0,N,2,,0,0,0,1,6,0,0,1,0,,Y,8,1494,2041,,N,47,F,5,115.9
47,    01024440003,1,4,1,02444,0,01,001,00000,'BUSHY FORK CREEK',,'NFA 2444 (SA 0102)','1.8 M NW OF SR61-SR95 JCT',99.99,10.268,0,0000000000,,36040072,084135664,8,3,02,02,08,1985,2,0,944,2021,6,7.6,0,0,0,0,N,0,0,4,0,0,0,A,1,5,5,06,0,00,3,0,7.8,13.4,39.6,0,0,7.9,9,99.99,N,0,N,0,0,7,7,7,5,N,1,46.7,1,32.4,7,5,N,5,7,6,,,,723,24,N00,N00,N00,,,,,,,,,,               ,0,N,2,,0,0,0,1,1,0,0,3,0,,Y,8,1424,2041,,N,47,G,7,356.4
47,    01024440005,1,4,1,02444,0,01,001,00000,'CSX RAILROAD',,'NFA 2444 347463J','1.5 M NW OF SR61-SR95 JCT',99.99,10.702,0,0000000000,,36040318,084134062,8,3,02,02,08,1990,2,0,944,2021,5,7.9,0,0,0,1,0,0,1,4,N,0,0,A,1,2,6,02,0,00,3,0,8,13.5,36.3,0,0,8,9.2,99.99,R,7.09,R,4.7,0,7,8,8,N,N,8,34.7,8,20.7,5,5,6,5,N,6,,,,723,24,N00,N00,N00,,,,,,,,,,               ,0,N,2,,0,0,0,2,1,0,1,3,0,,Y,N,1424,2041,,N,47,G,7,333.96
47,    01024520001,1,4,1,02452,0,01,001,00000,'HINDS CREEK',,'NFA 2452','1.7 M E OF SR71-SR170 JCT',99.99,2.157,0,0000000000,,36092777,083595742,10,3,02,02,08,1960,2,0,1746,2021,0,5.5,0,0,0,N,N,N,N,4,0,0,0,P,1,5,3,02,0,00,1,0,5.4,10,11.5,0,0,5.4,5.8,99.99,N,0,N,0,0,5,6,5,7,N,8,15.6,8,12.3,2,2,N,0,5,6,31,1,18.2,623,24,N00,N00,N00,,,,437,44,656,2021,,,               ,0,N,2,,0,0,0,N,6,0,0,3,0,,Y,8,2546,2041,,N,47,F,5,66.7
