STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
51,        1VA0075,1,8,0,00000,0,00,199,00000,'FELGATES CREEK',,'FELGATES ROAD','0.5KM SW OF WEST ROAD',99.99,0,0,,,37153300,076343870,5,3,73,73,09,2005,2,0,50,2013,5,9.7,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,05,0,00,5,0,8.7,11.6,57.6,0,0,8.7,9.7,99.99,N,0,N,0,0,7,7,7,8,N,3,99.9,3,99.9,7,7,N,5,8,8,38,1,61,723,24,N  ,Y60,N  ,,0723,,20,51,71,2023,,,               ,0,N,2,,0,0,,1,6,0,0,10,0,1,Y,5,75,2035,,Y,73,G,7,558.72
51,        1VA0159,1,8,0,00000,0,00,099,21008,'GAMBO CREEK',,'BAGBY ROAD','200M NE OF CASKEY ROAD',99.99,0,0,,,38204220,077015840,5,3,73,73,19,1991,2,0,1100,2013,5,7.9,0,0,0,1,0,0,1,5,N,0,0,A,1,5,5,05,0,00,1,0,7.9,19.4,19.4,0,0,8.5,9.6,99.99,N,0,N,0,0,6,6,7,7,N,1,65.1,1,39,6,5,N,5,7,8,31,1,19.4,723,24,N  ,N  ,N  ,,,,6,11,17,2023,,,               ,0,N,2,,0,0,,1,0,0,0,5,0,1,Y,5,1700,2040,,Y,73,F,6,186.24
51,        1VA0174,1,8,0,00000,0,00,740,00710,'UNNAMED CREEK',,'WILDERNESS ROAD','NSA NW ANNEX CHESAPEAKE',99.99,0,0,,,36342271,076153056,0,3,73,73,09,2011,2,0,10,2016,5,7.3,0,0,0,0,0,1,1,5,0,0,0,A,1,5,1,19,0,00,1,0,11.4,10.2,11.6,0,0,11.4,12.2,99.99,N,0,N,0,0,N,N,N,7,7,1,54.4,1,32.6,7,9,N,5,8,6,35,1,11.6,724,24,N  ,N  ,N  ,,,,0,19,19,2024,,,               ,0,N,2,,0,0,0,N,N,N,N,33,0,1,Y,5,12,2042,,Y,73,G,7,141.52
51,        1VA0575,1,8,8,00000,0,05,740,51870,'DALE ST. AND N&P RR',,'WILLIAMS AVE.','0.1 KM E OF ELM AVE.',99.99,0,0,,,36483680,076181490,1,3,73,73,19,1942,2,2,5000,2010,A,8,0,0,0,1,0,1,0,4,N,0,0,A,5,4,5,01,5,01,3,14,8,15.2,149.4,0,1.6,7.9,10.3,99.99,H,6.54,H,0.9,0,7,7,6,N,N,8,52.8,8,40.8,6,3,3,5,N,8,35,1,149.3,723,24,N  ,N  ,N  ,,,,56,1,56,2023,,,               ,0,N,2,,0,0,2020,1,6,0,0,5,0,,Y,N,6000,2035,,Y,73,F,6,1538.82
51,        1VA2106,1,8,8,00000,0,05,810,51128,'LAKE WHITEHURST OUTLET',,'AMPHIBIOUS DRIVE','1 KM NW OF FERRY ROAD',99.99,0,0,,,36544191,076110984,5,3,73,73,19,1954,2,0,500,2010,5,9.1,0,9,0,0,0,0,0,5,0,0,0,P,5,9,3,02,0,00,2,0,7.3,9.9,17.2,1.4,0.3,7.3,9,99.99,N,0,N,0,0,5,5,6,8,N,1,52.4,1,31.3,5,4,N,5,8,8,38,1,17.2,724,24,N  ,N  ,N  ,,,,58,129,187,2024,,,               ,0,N,2,,0,0,0,1,1,0,0,10,0,,Y,5,640,2044,,Y,73,F,5,154.8
51,        1VA2107,1,8,8,00000,0,05,810,51128,'EASTERN SHORE RR',,'AMPHIBIOUS DRIVE','0.2 KM W OF ABBOTT ROAD',99.99,0,0,,,36542624,076105306,2,3,73,73,19,1955,2,2,4000,2010,4,7.9,0,0,0,1,1,0,0,5,N,0,0,P,5,4,4,02,3,02,3,14,7.9,56.4,275.8,1.7,0.6,7.9,10.2,99.99,R,4.06,H,4.2,0,6,5,6,N,N,1,62,1,37.1,5,3,3,5,N,8,38,1,275.8,724,24,N  ,N  ,N  ,,,,154,46,200,2024,,,               ,0,N,2,,0,0,0,1,1,0,0,15,0,,Y,N,4200,2043,,Y,73,F,5,2813.16
51,        1VA3701,1,8,8,00000,0,05,810,51128,'LAKE SMITH OUTLET',,'AMPHIBIOUS DRIVE','0.2 KM NE OF MURRY ROAD',99.99,0,0,,,36543290,076100580,2,3,73,73,19,1954,2,0,2000,2010,4,7.9,0,45,0,0,0,0,0,5,0,0,0,P,1,5,3,02,0,00,3,0,7.9,7.5,20.1,0,0,8.2,8.8,99.99,N,0,N,0,0,5,5,5,5,N,1,99.9,1,61.1,5,4,N,5,7,8,38,1,20.1,724,24,N  ,N  ,N  ,,,,167,82,249,2024,,,               ,0,N,2,,0,0,0,3,0,0,0,10,0,,Y,4,2400,2043,,Y,73,F,5,176.88
51,        1VA3704,1,8,8,00000,0,05,810,51128,'LAKE BRADFORD OUTLET',,'AMPHIBIOUS DRIVE','02 KM NE OF NIDER BLVD',99.99,0,0,,,36543360,076092280,2,3,73,73,09,2016,3,0,2000,2010,0,13.7,0,15,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,13.7,3.3,6.3,0,0,0,172,99.99,N,0,N,0,0,N,N,N,7,7,3,56.8,3,37.2,7,N,N,5,7,8,,,,724,24,N  ,N  ,N  ,,,,4,0,4,2024,,,               ,0,N,2,,0,0,0,N,N,N,N,10,0,,Y,5,2400,2043,,Y,73,G,7,1083.6
51,        2VA00AA,1,8,1,00000,0,00,179,00000,'AQUIA CREEK',,'MCB-3','1 KM SE OF CAMP BARRETT',99.99,0,0,,,38292796,077260330,22,3,73,73,09,1947,2,0,2000,2015,6,6.1,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,05,0,00,1,0,6.1,23.3,23.3,0,0,7.5,8.5,99.99,N,0,N,0,0,5,7,5,7,N,1,99.9,1,47.2,5,4,N,5,7,6,38,1,23,923,24,N  ,N  ,N  ,,,,38,23,61,2023,,,               ,0,N,2,,0,0,1993,2,6,0,0,10,0,,Y,5,2500,2039,,Y,73,F,5,198.05
51,        2VA00C1,1,8,1,00000,0,00,153,00000,'N BRANCH CHOPAWAMSIC CRK',,'MCB-1','2.0 KM N OF NEW BRECK RD',99.99,0,0,,,38335210,077253350,18,3,73,73,09,1985,2,0,1000,2015,5,10.4,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,3,0,10.4,3,9.8,0,0,10.4,11,99.99,N,0,N,0,0,N,N,N,6,6,1,61.6,1,36.9,6,6,N,5,7,8,38,1,9.8,923,24,N  ,N  ,N  ,,,,10,91,111,2023,,,               ,0,N,2,,0,0,,N,6,N,N,10,0,1,Y,5,1200,2037,0,Y,73,F,6,107.8
