STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
55,00000000000F303,1,6,1,00010,0,07,051,00000,'FLAMBEAU BEAR RIVER',,'IRR BIA RTE 10','6KM NW OF LAC DU FLAMBEAU',99.99,0.161,0,0000000000,0,45585541,089561328,8,3,62,62,09,1932,2,0,50,2024,0,7.9,0,0,0,1,0,0,0,5,0,0,0,P,1,5,7,01,0,00,2,0,7.5,5.5,11.3,0.2,0.2,7.5,7.9,99.99,N,0,N,0,0,5,5,3,4,N,2,24.7,2,17.8,3,6,N,4,4,4,31,1,12,924,24,N  ,N  ,N  ,,,,0,0,452,2024,,0,               ,0,N,2,,0,1,1958,8,6,0,0,25,0,,Y,8,60,2044,0,Y,62,P,3,89.27
55,00000000000F310,1,6,1,00024,0,06,115,00000,'WEST BRANCH RED RIVER',,'IRR BIA RTE  24','10 KM  NE  OF  BOWLER',99.99,2.737,0,0000000000,0,44542955,088544561,3,3,62,62,09,1948,2,0,100,2024,0,6.7,0,0,0,0,1,1,1,5,0,0,0,P,1,5,7,01,0,00,1,0,6.7,6.1,6.1,0,0,7,7.8,99.99,N,0,N,0,0,5,5,7,5,N,2,21.6,2,15.1,4,5,N,1,5,6,31,1,11,924,24,N  ,N  ,N  ,,,,0,0,460,2024,,0,               ,0,N,2,,0,1,1990,8,6,0,0,15,0,,Y,8,117,2044,0,Y,62,F,5,47.58
55,00000000000F311,1,6,1,00021,0,03,078,00000,'RED  RIVER',,'IRR BIA RTE  21','13 KM  NE  OF  BOWLER',99.99,8.372,0,0000000000,0,44563600,088554200,16,3,62,62,09,1979,2,0,150,2024,4,10.4,0,0,0,1,1,1,0,5,0,0,0,A,1,5,5,02,0,00,2,0,9.1,20.4,40.5,0,0,9.1,10.3,99.9,N,0,N,0,0,5,7,8,6,N,1,31.5,1,23.1,6,6,N,5,8,6,,,40.5,924,24,N  ,N  ,N  ,,,,0,0,0,2024,,0,               ,0,N,2,,0,1,0,1,0,0,0,20,0,,Y,8,250,2044,0,Y,62,F,5,417.15
55,00000000000F315,1,6,1,00009,0,08,003,00000,'DENOMIE  CREEK',,'IRR BIA RTE  9','3 KM  EAST  OF  ODANAH',99.99,3.22,0,0000000000,0,46360600,090390000,2,3,62,62,09,1977,2,0,300,2024,5,8.8,0,0,0,0,0,0,1,5,N,0,0,A,1,5,2,01,0,00,3,0,8.6,7.6,21,0,0,8.6,10.5,99.9,N,0,N,0,0,5,5,7,7,N,1,40.6,1,29.7,5,6,N,5,7,6,,,0,924,24,N  ,N  ,N  ,,,,0,0,0,2024,,0,               ,0,N,2,,0,1,0,1,6,0,0,10,0,,Y,8,500,2044,0,Y,62,F,5,220.5
55,00000000000F317,1,6,1,00052,0,08,003,59450,'KAKAGON  RIVER',,'IRR BIA RTE  52','3 KM  NW  OF  ODANAH',99.99,2.737,0,0000000000,0,46371020,090421190,199,3,62,62,09,1980,2,0,20,2024,6,9.1,0,0,0,1,0,1,1,5,N,0,0,A,1,5,5,05,0,00,2,0,8.5,9.1,18.6,0,0,8.5,9.1,99.99,N,0,N,0,0,7,8,7,7,N,1,47.7,1,35.8,7,7,N,5,6,8,,,0,924,24,N  ,Y60,N  ,,0819,,0,0,0,2024,,0,               ,0,N,2,,0,1,2003,1,1,0,0,10,0,,Y,8,25,2044,0,Y,62,G,7,169.26
55,00000000000F318,1,6,1,00052,0,08,003,59450,'KAKAGON  RIVER',,'IRR BIA RTE  52','2 KM NW OF ODANAH',99.99,1.61,0,0000000000,0,46365101,090414914,199,3,62,62,09,1980,2,0,30,2024,6,9.1,0,0,0,1,0,1,1,5,N,0,0,A,1,5,5,05,0,00,2,0,8.5,8.8,18.3,0,0,8.5,9.1,99.99,N,0,N,0,0,7,8,6,7,N,1,47.7,1,35.8,6,7,N,5,7,8,,,0,924,24,N  ,Y60,N  ,,0819,,0,0,0,2024,,0,               ,0,N,2,,0,1,2003,1,1,0,0,10,0,,Y,8,40,2044,0,Y,62,F,6,166.53
55,00000000000F321,1,6,1,00021,0,03,115,00000,'WEST  BRANCH  RED  RIVER',,'IRR BIA RTE  21','20 KM  NW  OF  GRESHAM',99.99,5.63,0,0000000000,0,44551710,088562500,8,3,62,62,09,1994,2,0,450,2024,4,11.6,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,02,0,00,1,0,9.1,19.5,19.5,0,0,9.1,10.4,99.9,N,0,N,0,0,5,7,8,8,N,2,31.2,1,22.9,6,6,N,5,7,6,,,19.5,924,24,N  ,N  ,N  ,,,,0,0,0,2024,,0,               ,0,N,2,,0,1,0,1,6,0,0,15,0,,Y,8,700,2044,0,Y,62,F,5,202.8
55,00000000000F323,1,6,1,00033,0,08,003,00000,'POTATO RIVER',,'IRR BIA RTE 33','5.3 KM NORTH OF HWY 169',99.99,5.313,0,0000000000,0,46280263,090351331,24,3,62,62,09,1999,2,0,50,2022,5,7.3,0,0,0,1,0,1,0,5,N,0,0,A,1,5,2,01,0,00,3,0,7.3,13.4,32.9,0,0,7.3,7.9,99.99,N,0,N,0,0,7,7,5,5,N,1,70.2,1,42.5,5,6,N,5,4,6,31,1,0,924,24,N  ,Y60,N  ,,0819,,0,0,53,2024,,0,               ,0,N,2,,0,1,0,1,1,0,1,20,0,,Y,5,70,2042,0,Y,62,F,5,259.91
55,00000000000F324,1,6,1,00018,0,08,003,00000,'NORTH  VAUGHN  CREEK',,'IRR BIA RTE  33','10KM NORTH OF JCT HWY 169',99.99,9.66,0,0000000000,0,46290272,090371004,24,3,62,62,09,1996,2,0,50,2022,6,7.3,0,0,0,1,0,1,1,5,N,0,0,A,1,5,5,02,0,00,3,0,6.7,15.2,21.8,0,0,7.3,7.9,99.99,N,0,N,0,0,7,7,7,6,N,1,53.9,1,42.5,7,6,N,5,7,5,,,0,924,24,N  ,N  ,N  ,,,,0,0,0,2024,,0,               ,0,N,2,,0,1,0,1,1,0,1,20,0,,Y,8,70,2042,0,Y,62,G,7,172.22
55,00000000000F325,1,6,1,00033,0,08,003,00000,'VAUGHN  CREEK',,'IRR BIA RTE  33','8 KM NORTH OF JCT HWY 169',99.99,8.05,0,0000000000,0,46283253,090360060,24,3,62,62,09,1996,2,0,50,2022,6,6.7,0,0,0,1,0,1,1,5,N,0,0,A,1,5,5,02,0,00,1,0,6.7,16.5,17.7,0,0,7.3,7.9,99,N,0,N,0,0,7,7,7,6,N,1,58.8,1,40.8,7,6,N,5,7,6,,,0,924,24,N  ,N  ,N  ,,,,0,0,0,2024,,0,               ,0,N,2,,0,1,0,1,1,0,1,20,0,,Y,8,70,2042,0,Y,62,G,7,139.83
