state,year,bridge_replacement_thousands,major_bridge_rehab_thousands,minor_bridge_rehab_thousands,bridge_repair_total_thousands,new_bridge_thousands
CA,2020,0.0,0.0,198419.0,198419.0,0.0
CA,2021,0.0,0.0,230815.0,230815.0,0.0
CA,2022,0.0,0.0,238694.0,238694.0,0.0
CA,2023,0.0,0.0,367295.0,367295.0,0.0
CA,2024,0.0,106848.0,304079.0,410927.0,0.0
FL,2020,212323.0,0.0,93985.0,306308.0,1548.0
FL,2021,328710.0,0.0,92459.0,421169.0,11102.0
FL,2022,434646.0,0.0,94827.0,529473.0,4588.0
FL,2023,424247.0,0.0,111166.0,535413.0,5000.0
FL,2024,426575.0,0.0,88642.0,515217.0,8557.0
MD,2020,142800.0,9023.0,38639.0,190462.0,0.0
MD,2021,119692.0,5998.0,34284.0,159974.0,0.0
MD,2022,78925.0,8576.0,37142.0,124643.0,725.0
MD,2023,117746.0,9528.0,64176.0,191450.0,0.0
MD,2024,73807.0,3651.0,58040.0,135498.0,0.0
MI,2020,291062.0,2792.0,284620.0,578474.0,0.0
MI,2021,300012.0,2878.0,293371.0,596261.0,0.0
MI,2022,232389.0,0.0,401155.0,633544.0,0.0
MI,2023,238827.0,0.0,364855.0,603682.0,0.0
MI,2024,291145.0,82069.0,386164.0,759378.0,0.0
NY,2020,572156.0,3479.0,505823.0,1081458.0,145977.0
NY,2021,461705.0,2807.0,408180.0,872692.0,117798.0
NY,2022,475218.0,2889.0,420126.0,898233.0,121246.0
NY,2023,475198.0,2777.0,419661.0,897636.0,121246.0
NY,2024,359870.0,1711.0,317731.0,679312.0,91498.0
TX,2020,707282.0,87999.0,0.0,795281.0,0.0
TX,2021,731675.0,43477.0,0.0,775152.0,0.0
TX,2022,750709.0,37228.0,0.0,787937.0,0.0
TX,2023,1151496.0,111020.0,0.0,1262516.0,0.0
TX,2024,1327461.0,126381.0,0.0,1453842.0,0.0
WA,2020,0.0,0.0,218241.0,218241.0,0.0
WA,2021,2627.0,0.0,468102.0,470729.0,0.0
WA,2022,0.0,0.0,632900.0,632900.0,0.0
WA,2023,280838.0,0.0,0.0,280838.0,0.0
WA,2024,133727.0,0.0,181396.0,315123.0,0.0
