STRUCTURE_NUMBER_008,STATE,YEAR,tmax_mean_c,tmin_mean_c,tavg_mean_c,prcp_total_mm,freeze_thaw_days
000000000000007,MI,2020,12.003884904371583,3.01812243852459,7.510822233606557,764.6796875,131.0
000000000000009,MI,2020,13.451139856557376,2.2985186133879782,7.874338285519125,822.421875,127.0
000000000000010,MI,2020,12.824624316939891,2.4618980532786887,7.642780908469946,751.34375,132.0
000000000000011,MI,2020,12.56749487704918,2.542733948087432,7.555071721311475,747.28125,129.0
000000000000012,MI,2020,12.090804303278688,2.3561304644808745,7.223574112021858,779.4453125,131.0
000000000000013,MI,2020,13.000170765027322,2.1270918715847,7.5632897882513666,816.7734375,138.0
000000000000014,MI,2020,12.760886270491802,2.0459784836065573,7.403261612021858,788.515625,136.0
000000000000015,MI,2020,12.958589480874316,2.622780054644809,7.790300546448087,754.265625,131.0
000000000000016,MI,2020,12.958589480874316,2.622780054644809,7.790300546448087,754.265625,131.0
000000000000017,MI,2020,12.958589480874316,2.622780054644809,7.790300546448087,754.265625,131.0
000000000000018,MI,2020,12.047750170765028,3.0723403346994536,7.560151980874317,778.734375,132.0
000000000000019,MI,2020,13.370517418032788,2.1911287568306013,7.780588285519125,820.109375,128.0
000000000000020,MI,2020,12.764045423497269,2.7333717554644807,7.748825990437158,750.9140625,131.0
000000000000021,MI,2020,12.824624316939891,2.4618980532786887,7.642780908469946,751.34375,132.0
000000000000022,MI,2020,12.66060450819672,2.2777279713114758,7.468963456284153,750.5859375,132.0
000000000000023,MI,2020,12.66060450819672,2.2777279713114758,7.468963456284153,750.5859375,132.0
000000000000024,MI,2020,12.56749487704918,2.542733948087432,7.555071721311475,747.28125,129.0
000000000000025,MI,2020,12.56749487704918,2.542733948087432,7.555071721311475,747.28125,129.0
000000000000026,MI,2020,12.970713797814208,2.70417093579235,7.837303620218579,765.109375,129.0
000000000000028,MI,2020,13.000405566939891,2.504696038251366,7.752241290983607,765.1640625,129.0
000000000000029,MI,2020,13.000405566939891,2.504696038251366,7.752241290983607,765.1640625,129.0
000000000000030,MI,2020,12.92392418032787,2.3765582308743167,7.650123804644808,755.4921875,129.0
000000000000031,MI,2020,12.958589480874316,2.622780054644809,7.790300546448087,754.265625,131.0
000000000000032,MI,2020,11.4924649931694,0.2757001366120218,5.883943818306011,1026.390625,143.0
000000000000033,MI,2020,11.195803449453551,0.1219048838797814,5.659046277322404,1073.3515625,135.0
000000000000034,MI,2020,11.195803449453551,0.1219048838797814,5.659046277322404,1073.3515625,135.0
000000000000035,MI,2020,11.195056352459016,0.4705430327868852,5.8327143101092895,1069.9453125,137.0
000000000000036,MI,2020,11.206817793715848,0.502625512295082,5.854721653005464,1066.0390625,139.0
000000000000039,MI,2020,10.105874316939891,1.2912824453551912,5.6984289617486334,1086.8828125,123.0
000000000000040,MI,2020,11.4924649931694,0.2757001366120218,5.883943818306011,1026.390625,143.0
000000000000041,MI,2020,11.362107240437158,0.3011654713114754,5.8313695355191255,1043.9140625,137.0
000000000000042,MI,2020,11.142225922131148,0.3838370901639344,5.762721994535519,1074.8828125,136.0
000000000000044,MI,2020,10.323428961748634,1.8691939890710385,6.09661031420765,1069.0390625,123.0
000000000000045,MI,2020,10.615351775956285,1.349086407103825,5.9822831284153,1082.265625,126.0
000000000000046,MI,2020,,,,0.0,0.0
000000000000047,MI,2020,,,,0.0,0.0
000000000000049,MI,2020,9.824837773224044,1.4934042008196722,5.659131659836065,1091.6484375,120.0
000000000000050,MI,2020,10.84588456284153,0.5777621243169399,5.711705942622951,1073.2421875,134.0
000000000000051,MI,2020,10.906314036885243,0.5461705942622951,5.726413080601093,1074.0859375,131.0
000000000000052,MI,2020,10.906314036885243,0.5461705942622951,5.726413080601093,1074.0859375,131.0
000000000000053,MI,2020,9.887978142076502,0.5396815232240437,5.213819159836065,941.6796875,117.0
000000000000054,MI,2020,11.473360655737704,0.1237406079234972,5.798027663934426,1033.9375,138.0
000000000000055,MI,2020,11.362320696721312,0.1431010928961748,5.752967042349726,1050.2109375,136.0
000000000000056,MI,2020,11.152962773224044,0.5152407786885246,5.833995047814208,1073.40625,138.0
000000000000057,MI,2020,11.043545081967212,0.5582735655737705,5.801421618852459,1078.5078125,136.0
000000000000058,MI,2020,10.398629610655735,1.494663592896175,5.946742657103825,1078.4765625,125.0
000000000000059,MI,2020,,,,0.0,0.0
000000000000060,MI,2020,10.65838456284153,1.1868809767759565,5.922686133879782,1069.3046875,128.0
000000000000061,MI,2020,10.615351775956285,1.349086407103825,5.9822831284153,1082.265625,126.0
000000000000062,MI,2020,10.615351775956285,1.349086407103825,5.9822831284153,1082.265625,126.0
000000000000063,MI,2020,9.72515368852459,0.8254781420765027,5.275315915300546,866.2578125,111.0
000000000000064,MI,2020,11.429602117486338,0.5724684084699454,6.000619023224044,1044.59375,142.0
000000000000065,MI,2020,11.41937756147541,0.5324026639344263,5.9759007855191255,1050.671875,143.0
000000000000066,MI,2020,11.4924649931694,0.2757001366120218,5.883943818306011,1026.390625,143.0
000000000000067,MI,2020,10.65838456284153,1.1868809767759565,5.922686133879782,1069.3046875,128.0
000000000000068,MI,2020,10.11037824453552,1.8033000341530052,5.95703125,1065.8359375,118.0
000000000000069,MI,2020,9.96016905737705,0.5977416325136612,5.279030054644808,908.7265625,116.0
000000000000070,MI,2020,9.161266222677597,1.491120218579235,5.32635331284153,857.8046875,103.0
000000000000071,MI,2020,11.4924649931694,0.2757001366120218,5.883943818306011,1026.390625,143.0
000000000000072,MI,2020,11.362320696721312,0.1431010928961748,5.752967042349726,1050.2109375,136.0
000000000000073,MI,2020,11.195803449453551,0.1219048838797814,5.659046277322404,1073.3515625,135.0
000000000000074,MI,2020,11.195803449453551,0.1219048838797814,5.659046277322404,1073.3515625,135.0
000000000000075,MI,2020,11.424991461748634,0.382385587431694,5.903475068306011,1039.8515625,143.0
000000000000076,MI,2020,10.615351775956285,1.349086407103825,5.9822831284153,1082.265625,126.0
000000000000078,MI,2020,10.323428961748634,1.8691939890710385,6.09661031420765,1069.0390625,123.0
000000000000079,MI,2020,,,,0.0,0.0
000000000000080,MI,2020,10.241397711748634,1.947788592896175,6.094817281420765,1076.1875,118.0
000000000000081,MI,2020,10.241397711748634,1.947788592896175,6.094817281420765,1076.1875,118.0
000000000000085,MI,2020,9.824837773224044,1.4934042008196722,5.659131659836065,1091.6484375,120.0
000000000000086,MI,2020,15.268997609289617,4.74854849726776,10.008773053278688,949.2578125,109.0
000000000000087,MI,2020,15.268997609289617,4.74854849726776,10.008773053278688,949.2578125,109.0
000000000000089,MI,2020,15.328060963114757,4.703274419398907,10.0159024931694,973.0,109.0
000000000000090,MI,2020,15.295999829234972,4.76603056693989,10.031036543715848,968.7421875,109.0
000000000000091,MI,2020,15.305029030054644,4.795893101092896,10.050162226775956,963.28125,109.0
000000000000092,MI,2020,15.39352800546448,4.983008879781421,10.188054986338798,932.1640625,102.0
000000000000094,MI,2020,15.39352800546448,4.983008879781421,10.188054986338798,932.1640625,102.0
000000000000096,MI,2020,14.89766905737705,4.884776297814208,9.89162824453552,914.953125,111.0
000000000000098,MI,2020,14.78310706967213,4.984673838797814,9.88381574453552,912.4453125,105.0
